Last Name,First Name,"The current $7,500 tax credit for purchasing electric vehicles is regressive.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"To encourage greater take-up of electric vehicles, public expenditure on infrastructure to support them (such as charging stations) is likely to be more cost-effective than providing equivalent amounts as tax credits/purchase rebates for buyers.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,But this is misleading. Climate change is an existential emergency and its effects are larger on the poor. Need to use ALL policy options!,Agree,4,"Yes, but again I object to the ""either or"" framing. Given the emergency, we need to do both and many other things, many much more radical."
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Agree,5,,Agree,7,
Autor,David,Strongly Agree,8,EVs are high-status luxury goods bought by affluent households. The tax credit is akin to subsidizing high-efficiency jacuzzis,Agree,8,Unlikely that this this solves regressiveness problem by spurring low income HHs to buy EVs. But might encourage somewhat broader adoption.
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Agree,7,,Agree,7,
Bertrand,Marianne,Agree,3,,Uncertain,2,
Brunnermeier,Markus,Agree,6,,Uncertain,5,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,7,,Agree,4,"The cited paper suggests ""agree"", though there is some uncertainty given the paper is a different time and context.  "
Cutler,David,Agree,3,Would prefer a comparison to an explicit alternative.,Uncertain,5,
Deaton,Angus,Strongly Agree,10,,Agree,6,
Duffie,Darrell,Agree,2,"Getting $7500 off on a $65,000 car is probably not subsidizing low-income households.",Agree,2,
Edlin,Aaron,Uncertain,1,"As to billionaire vs. millionaire, it is progressive, but as to poor vs. millionaire regressive.",Uncertain,5,
Eichengreen,Barry,Agree,1,,Agree,1,
Einav,Liran,Agree,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,,Agree,5,
Goolsbee,Austan,Agree,4,,Uncertain,1,It isn’t cheap
Greenstone,Michael,Agree,2,"agreed but this is static view (e.g., current EV prices)  if credits lower costs, then over longer run policy might not be regressive",Uncertain,2,confused ?. are network externalities > learning by doing spillovers ? what is goal 4 cost-effective? but do need common stds 4 charging 
Hall,Robert,Agree,3,Electric cars are luxury goods ,Uncertain,1,
Hart,Oliver,Agree,7,,Agree,5,
Holmström,Bengt,Agree,6,,Agree,4,
Hoxby,Caroline,Strongly Agree,10,,Uncertain,9,
Hoynes,Hilary,Agree,7,The credit itself is regressive but the benefits that it generates are more evenly shared. ,Uncertain,5,
Judd,Kenneth,Agree,8,Lower income households can't afford most of the electric cars.,Agree,7,Lack of charging stations is a major problem. Network externalities make a better case for subsidies.
Kaplan,Steven,Agree,5,,Strongly Disagree,4,
Kashyap,Anil,Agree,5,,Agree,1,
Klenow,Pete,Agree,2,,Agree,2,
Levin,Jonathan,Agree,6,,Agree,4,
Maskin,Eric,Agree,6,,Agree,5,
Nordhaus,William,Agree,9,"Looking only at fiscal side, not benefits.",Strongly Agree,9,Network externalities are key.
Obstfeld,Maurice,Agree,5,,Agree,6,Especially with gasoline prices where they are.
Saez,Emmanuel,Agree,7,,Uncertain,5,
Samuelson,Larry,Strongly Agree,8,,Strongly Agree,8,Effective infrastructure will be critical in moving to electric vehicles as the norm.
Scheinkman,José,Agree,6,,No Opinion,,
Schmalensee,Richard,Strongly Agree,7,,Agree,4,"The evidence, such as it is, seems to point in this direction, but hard to be confident. Grid upgrades needed for mass high-speed charging."
Shapiro,Carl,Strongly Agree,10,"Poor design of the existing tax credit points to redesigning it, not eliminating it.",Agree,7,
Shimer,Robert,Strongly Agree,10,,Disagree,3,
Stock,James,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Strongly Agree,5,,Agree,1,Helping with “range anxiety” might allow other manufacturers to compete with Tesla’s array of superchargers. 
Udry,Christopher,Strongly Agree,8,,Agree,7,
