Last Name,First Name,Forcing Amazon to divest Whole Foods now would be in the public interest.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Acquisitions by large tech platforms where there are risks of anti-competitive effects like those posed by Amazon’s acquisition of Whole Foods should not be permitted.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Large tech platforms, such as Amazon Marketplace and Google Search, should be designated as ‘platform utilities' and broken apart from any participant on that platform.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,,Agree,5,"I agree with the general statement, but I’m not sure whether it applies to whole foods",Agree,4,Generally yes. But the principle formulated here may be too broad
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Uncertain,2,,Uncertain,2,,Uncertain,2,
Auerbach,Alan,Uncertain,5,,Disagree,3,,Disagree,5,
Autor,David,Disagree,5,Where is the market power issue or consumer harm here? Amazon's entry into the grocery business appears pro-competitive to me,Agree,3,"Yes,  anticompetitive mergers should be curtailed. But I don't see how this applies to an online retailer buying a brick and mortar grocer",Disagree,5,I think this is worth debating. But I'm far from certain it should occur
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Uncertain,5,,Uncertain,6,,Agree,6,
Bertrand,Marianne,Uncertain,3,,Agree,3,,Uncertain,3,
Brunnermeier,Markus,Disagree,3,,Uncertain,4,"Ensuring competitiveness is essential, but disruption of existing inefficiencies are also desirable. ",Agree,7,
Chetty,Raj,No Opinion,,,No Opinion,,,No Opinion,,
Chevalier,Judith,Disagree,7,It's hard to see what anticompetitive effect outweighs the cost of unscrambling the merger & couldn't be addressed w/ a nonstructural remedy,Uncertain,7,Non-horizontal mergers can be anticompetitive. Requires very case by case scrutiny.,Uncertain,7,"However, the contractual practices of platforms (such as MFNs) warrant more scrutiny.  "
Cutler,David,Uncertain,4,,Uncertain,4,,Agree,4,
Deaton,Angus,Agree,6,,Agree,7,,Agree,6,
Duffie,Darrell,Uncertain,1,,Uncertain,1,,Uncertain,1,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Uncertain,1,,Uncertain,1,,Uncertain,1,
Einav,Liran,Disagree,4,,Uncertain,4,,Agree,4,
Fair,Ray,Disagree,5,,Disagree,5,,Disagree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Uncertain,1,,Uncertain,1,There would be more agreement here if you used a tech example not groceries. Platforms buying off potential competitors is a big worry,Uncertain,1,
Greenstone,Michael,Disagree,5,,Uncertain,4,,Uncertain,5,is it enough to regulate the contractual practices of platforms?
Hall,Robert,Disagree,5,"Deciding would involve a serious analysis. There's a presumption against intervention, especially given WF's small share of the market.",Disagree,8,"""Anti-competitive"" is a meaningless term. Policy on big platforms needs to be guided by serious consideration of social welfare.",Disagree,7,"An analysis would require consideration of the incentives to create new dominant platforms, which would obviously be impaired by regulation."
Holmström,Bengt,Uncertain,7,"I suspect there is a need to regulate the scope of platforms, but the issue appears poorly understood. Don't know enough to take a stand.",Agree,4,"Looking forward, the scope of dominant platforms should be reviewed carefully.",Disagree,4,I'm not prepared to be so categorical. 
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Judd,Kenneth,Disagree,8,On what grounds? What illegal actions have Amazon taken?,Strongly Disagree,9,"A guy leaves a bar and drives away, he may be drunk and kill someone. ""Risk"" does not justify stopping him. A stronger argument is needed.",Strongly Disagree,8,"I have seen no reason why such s strong measure is needed instead of rational, fact-based regulation."
Kaplan,Steven,Strongly Disagree,5,,Uncertain,9,"Risks are not enough.  Comes down to costs and benefits, like any other antitrust decision.",Disagree,5,History suggests such businesses succumb to competitors eventually -- like IBM and Microsoft.  And any remedy may be worse than status quo.
Kashyap,Anil,Disagree,3,,Disagree,2,,No Opinion,,
Klenow,Pete,Disagree,3,,Uncertain,3,,Agree,3,
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Agree,5,,Agree,5,,Agree,5,
Nordhaus,William,Disagree,5,,No Opinion,,,Disagree,4,
Saez,Emmanuel,Uncertain,6,,Agree,5,,Strongly Agree,7,
Samuelson,Larry,Agree,6,,Agree,6,,Agree,6,"Technology has created a new type of ""natural monopoly"" that calls for a new understanding and a new competition policy."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Strongly Disagree,6,Hard to see the case for unscrambling that omelet without evidence of harm.,Disagree,7,"There is a good argument for a tougher standard, but that threshold seems too tough.",Uncertain,7,"The basic idea has merit, but there would be efficiency costs, and more analysis is clearly necessary."
Shapiro,Carl,Strongly Disagree,8,On what basis?,Disagree,7,Any risks at all? Merger analysis is a predictive exercise involving tradeoffs.  What risks regarding Amazon and Whole Foods?  ,Uncertain,1,"This statement is far too incomplete and ambiguous for me to answer with any confidence, one way or the other."
Shimer,Robert,Disagree,6,,Disagree,6,,Disagree,8,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Disagree,5,,Disagree,5,,No Opinion,,
Udry,Christopher,No Opinion,,I'm quite confident that I don't have the information needed to judge this.,Uncertain,8,Likely to vary by case.,Uncertain,6,"Increasing returns makes a plausible case for it, but the dangers if inhibiting tech change are also real."
