Last Name,First Name,"Consider one of two proposals for restraining future Medicare spending, each by the same amount: The method that President Obama enacted in the Affordable Care Act — reducing Medicare-related payments to private insurers and altering the payment system for doctors and hospitals — imposes risks on future Medicare patients because over time the supply of doctors, hospitals and insurers willing to offer them health services may decline in response to restrained payments.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Consider the other of two proposals for restraining future Medicare spending, each by the same amount: The method that Governor Romney advocates — giving future seniors a fixed payment for premiums and letting private insurers compete with Medicare — imposes risks on future Medicare patients because competition may not be powerful to enough to offer future seniors the same quality of care that is currently promised without supplementing their premium support.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,7,There is fat and monopoly markups in the system to be cut. The problem with the ACA is the absence of across the board credible cost cutting,Disagree,6,the problem isn't lack of power from competition but other parts of the plan which do not make sense and may rely on cutting redistribution
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,8,,Agree,8,
Auerbach,Alan,Agree,7,,Agree,7,
Autor,David,Agree,8,"Obamacare is a risky step into the unknown; The alternative of voucher-care is a faith-based exercise, already disproved by the evidence. ",Strongly Agree,10,There is no evidence that private sector is more effective at healthcare cost control than public sector. Privatization only shifts costs. 
Baicker,Katherine,Uncertain,6,,Agree,6,
Bertrand,Marianne,Agree,3,,Agree,3,
Chetty,Raj,Uncertain,5,,Agree,5,
Chevalier,Judith,Agree,7,Savings could result both from particular therapies being disallowed as well as control over price of a given therapy.  ,Strongly Agree,9,
Currie,Janet,Strongly Disagree,10,Medicare is such an important market that providers will not be able to turn their backs on these patients.,Strongly Agree,10,"The market for health care is not competitive. Under this proposal prices will increase, leaving seniors unable to afford care."
Cutler,David,Agree,3,"Every policy has risks, so one can't say no. The evidence suggests this is not major, though. ",Strongly Agree,10,This depends enormously on how the voucher is set wrt expected costs. The proposals involve enormous risks. 
Deaton,Angus,Disagree,4,It is supposed to be compensated by there being fewer uninsured.,Strongly Agree,9,
Duffie,Darrell,Agree,2,,Agree,3,
Edlin,Aaron,Agree,8,The amount of risk depends not just on supply but on the political will to restrain payments if supply shrinks,Strongly Agree,10,This risk verges on certainty.  The private insurance system has not been very good at restraining costs.
Eichengreen,Barry,Agree,8,,Strongly Agree,8,
Fair,Ray,Agree,4,,Agree,4,
Goldberg,Pinelopi,Agree,6,,Agree,6,
Goldin,Claudia,Disagree,6,,Agree,7,Cherrypicking will occur and the government option gets more adversely selected.
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Uncertain,4,"It seems unlikely that such serious cutbacks would ever occur. The risk is to the government's fiscal position, not to US health.",Uncertain,4,"So, of course, premium support in lieu of Medicare would be raised. Again the risk is to fiscal, not medical, health."
Holmström,Bengt,Uncertain,5,Implementation details will determine how severe this problem becomes. Not a big problem in many countries with national health insurance.,Strongly Agree,7,I don't see how competition can eliminate serious adverse selection problems
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Disagree,6,"These payments come from a bargaining process. When too high, Medicare pushes them down. If there is exit, Medicare will allow them to rise.",Agree,8,Insurance companies will spend money to attract healthy people and push others to Medicare.
Kashyap,Anil,Agree,3,Assuming that they actually hold the line on payments.,Agree,3,Also risky assuming premium support is limited; some cherry picking could also cause problems for traditional Medicare
Klenow,Pete,Agree,5,"Medicare is not on a sustainable path, so some sacrifice of promised future benefits is inevitable.",Agree,5,"Future benefits have to fall, and this is one way.  Massachusetts offers hope that a hybrid plan could reduce non-plan costs too."
Lazear,Edward,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Uncertain,5,Surely pricing decisions in Medicare have incentive effects but would expect how cuts are made to matter a lot. ,Uncertain,5,Again seems hard to say - depends on plan requirements and level of premium support.
Maskin,Eric,Agree,8,,Agree,8,
Nordhaus,William,Uncertain,1,,Uncertain,1,
Obstfeld,Maurice,Uncertain,4,,Agree,4,
Saez,Emmanuel,Disagree,4,,Agree,5,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,7,,Strongly Agree,7,
Shin,Hyun Song,Agree,6,,Disagree,5,
Stokey,Nancy,Agree,7,"If it becomes a serious problem, the reimbursement method or something else) will be modified.",Uncertain,6,"It is not obvious what the current system ""promises"" to a fifty- or sixty-year old.  "
Thaler,Richard,Agree,3,"Of course, there is no such thing as a risk free lunch.",Strongly Agree,7,"This one is more substantive.  It is like changing from an indexed DB plan to a nominal DC plan.  Worse, adds risks that states default!"
Udry,Christopher,Agree,4,There is some probability that complementary policies to contain the growth of medical costs will not be sufficiently effective.,Strongly Agree,7,
Zingales,Luigi,Agree,6,,Agree,4,
