Last Name,First Name,Taking into account all of the economic consequences — including the incentives of banks to ensure their own liquidity and solvency in the future — the benefits of bailing out U.S. banks in 2008 will end up exceeding the costs.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Because GM and Chrysler were bailed out in 2008-09, the U.S. unemployment rate was lower at the end of 2010 than it would it have been if Congress and the executive branch had not intervened.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Taking into account all of the economic consequences — including effects on corporate managers' incentives and on creditors' expectations of how their claims will be treated in future bankruptcies — the benefits of bailing out GM and Chrysler will end up exceeding the costs.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Disagree,7,,Agree,8,,Uncertain,7,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,8,,Strongly Agree,8,,Agree,6,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Disagree,3,,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,7,"Long term unemployed workers are costly; many collect SSDI. Aiding GM was likely a cost effective welfare/employment program, all else aside",Agree,8,"Putting costs aside, this is almost certainly true since many displaced workers would not have found reemployment by now in bad economy.",Agree,6,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,3,,Uncertain,4,,Uncertain,4,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Agree,3,,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Uncertain,9," On net I agree, but the future costs are difficult to measure. ",Agree,8,,Uncertain,8,,,,,,,,,,,,,,,,,,,
Currie,Janet,Agree,7,,Agree,4,,Agree,5,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,6,,Strongly Agree,6,,Strongly Agree,6,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Strongly Agree,9,,Strongly Agree,8,,Strongly Agree,9,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Strongly Agree,10,"Absent those bailouts, a depression was much more likely. The moral hazard is now being reduced by new rules, such as for capital. ",Uncertain,2,"To answer this would require a reliable and detailed quantitative macroeconomic model, or at least expert empirical knowledge.",Disagree,7,"The bankruptcy law was circumvented. Absent  unstated exigent (e.g. systemic) reasons, upsetting creditor rights is inefficient. ",,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,6,"The past bailout, by itself, won't ensure the next one, nor would a refusal to bail firms out set a binding precedent.",Agree,6,,Agree,1,Incentive effects are real.  Incentive effects from a decision to bail out are overstated.,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,5,"""Bailing out the banks"" is not a very precise characterization of the policies of 2008-9.",Agree,5,"While I agree, I would have preferred seeing the gov stand behind warantees and provide debtor in possession finance only.",Agree,5,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,"Too many possibilities, and hard to measure costs and benefits. ",Uncertain,5,"Probably yes, but a very small effect. ",Uncertain,5,"Again, hard to measure costs and benefits. ",,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,6,The consequenses (economic and social) of a potential financial collapse would have been immense.,Agree,6,"In the short run, it seems uncontroversial.",Uncertain,6,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Agree,3,,Agree,3,,Uncertain,3,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Disagree,7,may not cost $ but was still an outrage we got to that point,Strongly Agree,10,"as with banks, even if true, outrageous we ever got to that position",Disagree,8,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Strongly Agree,7,Yes.  Credit markets were frozen and that was having a terrible impact on the economy.  Check out a graph of the TED spread.,Agree,5,"the strongest argument is US auto manufacturing would be better off in the long run, which may or may not be true, but v doubtful by 2010",Agree,5,,,,,,,,,,,,,,,,,,,
Hall,Robert,Disagree,5,"Not compared to an ideal policy of an orderly reorganization imposing losses on creditors according to seniority. But better than chaotic.
",Disagree,6,"Again, it would have been better to reorganize with suitable losses on the junior creditors. This would not have resulted in higher unemp.",Disagree,6,See previous answer,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,6,,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Uncertain,10,"Bankruptcy and liquidation would have been worse, but could have nationalized a couple of the weakest ones, especially Citi. ",Agree,7,But traditional bankruptcy and restructuring was an option too. Challenges for financial and non-financial firms are totally different. ,Uncertain,7,Costs will appear in the next crisis; the precedent for a bailout is now set.  Reduced incentives for the private sector to hold dry powder.,,,,,,,,,,,,,,,,,,
Klenow,Pete,Uncertain,5,,Uncertain,5,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Lazear,Edward,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,3,,Agree,3,,Agree,2,"Not at all obvious at the time decision was made, and I expect many would disagree now.",,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,Agree,8,,Agree,7,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,7,,Strongly Agree,7,,Agree,6,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,5,,Agree,6,,Agree,6,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,5,,Agree,6,,Agree,3,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,3,,Strongly Agree,7,,Agree,6,Moral hazard seems less of a problem with non-financial corporations.,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Uncertain,8,,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Agree,8,,Agree,8,,Uncertain,7,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,6,Many details could have been improved but you could do nothing.,Agree,7,There was no private money available.,Agree,6,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Disagree,4,,Agree,1,,Disagree,5,,,,,,,,,,,,,,,,,,,
