Last Name,First Name,"Letting car services such as Uber or Lyft compete with taxi firms on equal footing regarding genuine safety and insurance requirements, but without restrictions on prices or routes, raises consumer welfare.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,
Acemoglu,Daron,Strongly Agree,8,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,8,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,7,,,,,,,,,,,,,,,,,
Autor,David,Strongly Agree,7,,,,,,,,,,,,,,,,,
Baicker,Katherine,Strongly Agree,4,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Strongly Agree,8,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,4,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Agree,6,"Ensuring competition between various providers like Uber, Lyft, etc. is essential besides insurance and background checks for drivers. ",,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Strongly Agree,9,Pretty much the same as removing the cap on the number of medallions. ,,,,,,,,,,,,,,,,
Currie,Janet,Agree,8,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,5,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,8,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,6,Competition on quality and price helps consumers. We also have some evidence from revealed preference. Uber was popular right away.,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,9,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,5,,,,,,,,,,,,,,,,,
Einav,Liran,Strongly Agree,9,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,6,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Strongly Agree,7,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,6,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,10,"yes. yes. a thousand times yes. 
Instead, try calling for a cab on Saturday night from the south side of Chicago and see what happens.",,,,,,,,,,,,,,,,
Greenstone,Michael,Strongly Agree,8,yes.  part of the gain in consumer welfare though comes from undermining property rights of taxi medallion owners.  ,,,,,,,,,,,,,,,,
Hall,Robert,Strongly Agree,7,Disclosure: My economist son serves in Uber's economics department.,,,,,,,,,,,,,,,,
Hart,Oliver,Strongly Agree,10,"I don't see any externalities. According to standard economics, competition enhances welfare and I believe that would be true here.",,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,7,"Qualification: foreigners, who tend to assume fares are regulated, can be taken advantage of without any price caps. No problem with Uber.",,,,,,,,,,,,,,,,
Hoxby,Caroline,Did Not Answer,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Strongly Agree,8,,,,,,,,,,,,,,,,,
Judd,Kenneth,Strongly Agree,8,,,,,,,,,,,,,,,,,
Kaplan,Steven,Strongly Agree,10,New technology / information more than offset any net benefits of regulation.,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,9,They innovate: e.g.knowing the rating of the driver who will come and haivng an easy way to find a lost phone after you take the ride. ,,,,,,,,,,,,,,,,
Klenow,Pete,Strongly Agree,5,,,,,,,,,,,,,,,,,
Levin,Jonathan,Strongly Agree,5,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,5,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,6,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,6,"Consumer welfare may rise (though difficult to measure), but it will not be a Pareto improvement for consumers, making evaluation difficult.",,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,8,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Agree,8,,,,,,,,,,,,,,,,,
Shapiro,Carl,Strongly Agree,10,,,,,,,,,,,,,,,,,
Shimer,Robert,Strongly Agree,8,This is in comparison to banning these services or regulating their price to equal the price of taxis.,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,4,"But Uber needs to be careful about surge pricing in emergencies,  people care about fairness as much as efficiency.


",,,,,,,,,,,,,,,,
Udry,Christopher,Strongly Agree,9,"One can imagine circumstances in which this would not be true, but this is a situation in which the simple economics are very persuasive.",,,,,,,,,,,,,,,,
