Last Name,First Name,Freer movement of people to live and work across borders within Europe has made the average western European citizen better off since the 1980s.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Freer movement of people to live and work across borders within Europe has made many low-skilled western European citizens worse off since the 1980s.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,7,Free movement is a good thing economically and in many other ways.,Disagree,6,I think we are all better off from immigration.
Antras,Pol,Strongly Agree,8,"As with trade, it would be hard to argue that migration has been worse for the average western citizen.",Uncertain,6,"As with trade, the effects on low-skilled workers are a bit less clear. Immigrants compete more directly with them. Some might have lost."
Bénassy-Quéré,Agnès,Strongly Agree,9,Existing studies conclude to higher GDP and net tax receipts in immigration countries.,Uncertain,7,Some countries have failed to carry out the needed solcial investment and/or to compensate the losers. 
Baldwin,Richard,Strongly Agree,10,,Strongly Disagree,10,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,7,,Agree,8,
Bloom,Nicholas,Strongly Agree,10,,Disagree,8,
Blundell,Richard William,Agree,8,"Free movement has improved the matching of skills in europe, there may have been some pressure on wages at the bottom but that is not clear.",Uncertain,7,Free movement has improved matching of skills and capital increasing productivity and income with offsetting effects on the low skilled.
Carletti,Elena,Agree,5,,Agree,5,
Danthine,Jean-Pierre,Agree,3,Instances of excessive mobility may have led to negative perceptions (feeling of being worse off),Agree,3,Again inadequate policies are more to blame than mobility itself. Moreover many other low skilled workers have been made better off.
De Grauwe,Paul,Agree,9,,Uncertain,5,
Eeckhout,Jan,Strongly Agree,10,,Disagree,8,
Fehr,Ernst,Agree,6,,Disagree,6,
Freixas,Xavier,Strongly Agree,8,More job opportunities have implied more options and made the average citizen better off,Agree,6,"The remuneration of low-skilled labor has gone down except, possibly, for those that emigrate within Europe."
Fuchs-Schündeln,Nicola,Strongly Agree,7,,Agree,2,
Galí,Jordi,Uncertain,5,"If the ""average"" citizen is mobile it has certainly increased the range of opportunities available to him/her.",Agree,6,Downward pressure on wages from immigrants with a lower reservation wage.
Garicano,Luis,Strongly Agree,9,,Disagree,6,
Giavazzi,Francesco,Strongly Agree,10,,Strongly Disagree,1,"again the question is about movements within europe, thus no doubts"
Griffith,Rachel,Strongly Agree,8,,Disagree,6,"The free movement of workers has probably led higher unemployment amongst some low skilled-workers, but probably not many."
Guerrieri,Veronica,Strongly Agree,8,,Disagree,8,
Guiso,Luigi,Agree,1,,Agree,1,free movement of labor has been an important mechanism for many low skill workers for finding a job after they lost it during the euro crisi
Hellwig,Martin,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Agree,6,Scale of growth in intra-EU migration tends to be exaggerated.,Disagree,6,
Kőszegi,Botond,Strongly Agree,6,,Agree,2,
Kleven,Henrik,Strongly Agree,6,,Uncertain,8,
Krahnen,Jan Pieter,Agree,7,"Welfare comparisons are hard to substantiate. Moreover, note the identification problem: EU trade and migration happened simultaneously. ",Disagree,5,"Freer migration has increased GDP, and thus has raised transfers to lower-skilled people. The balance, I believe (!), may well be positive."
Krusell,Per,Strongly Agree,8,People migrate because they want to. Secondary effects are likely positive too. ,Disagree,8,"Same as trade question. Some gain, some lose, also among low-skilled workers. "
La Ferrara,Eliana,Agree,4,,No Opinion,,
Leuz,Christian,Agree,7,Especially when considering that many western European countries have low birth rates and aging populations.,Agree,6,"Native wages for lowest-skilled decrease, but also depends on relative skills of migrants to low-skilled natives"
Meghir,Costas,Strongly Agree,9,,Disagree,8,
Neary,Peter,Strongly Agree,7,"All the evidence points to migration as improving productivity in host countries, with very small negative effects on displaced workers",Disagree,7,"This is definitely a widespread perception, whipped up by populist politicians; but migrants typically bring skills and consume few services"
O'Rourke,Kevin,No Opinion,,"Again, no such thing as ""average citizen"". But these freedoms are very popular across EU, and they surely have increased EU GDP.",Disagree,5,"Some lose when public services/housing stock aren't expanded, as in UK. I doubt numbers are huge across EU. Real UK problem: domestic policy"
Pagano,Marco,Strongly Agree,8,"Mobility has not only provided employment to migrant workers, but also raised firm profitability and often wages in recipient countries.",Uncertain,7,The evidence on the effect of immigration from EU (as opposed to non-EU) countries on recipient-countries' low-skill wages is ambiguous. 
Pastor,Lubos,Agree,8,,Agree,6,
Persson,Torsten,Agree,8,,Disagree,7,
Pissarides,Christopher,Strongly Agree,10,European workers have more choice of work location to maximize their returns,Agree,10,migration from east European countries has kept wages of unskilled workers in western countries low
