Last Name,First Name,"Consumers will be better off, on balance, if European cities treat firms that provide ride-sharing platforms (such as Uber) as substantively different from taxi firms, and thus not necessarily warranting the same regulation.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Assuming that taxi and ride-sharing companies were treated as substantively similar — including requirements that they operate on an equal footing regarding safety, insurance and taxation — letting ride-sharing services compete without restrictions on prices or routes would raise consumer welfare.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"Regardless of how ride-sharing services are treated, existing regulations for traditional taxi firms in many European cities harm consumers by limiting competition.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,5,Uber provides a different kind of service to regular taxi services that helps consumers. Leck of worker's rights may be a problem though.,Agree,5,This seems an area where competition would be beneficial.,Uncertain,5,Trade-off of worker'w rights and consumers benefits is a difficult one.
Antras,Pol,Uncertain,6,"It depends on what is meant by regulation. Ride-sharing platforms ought to be regulated, but some of current taxi regulations are harmful",Strongly Agree,10,"A positive effect on consumer surplus seems clear; on the producer side, there are winners and losers",Agree,7,"Leaving aside potential congestion and environmental concerns, the quick rise of (among others) Uber indicates that competition was limited"
Bénassy-Quéré,Agnès,Disagree,6,Taxi regulation could be adjusted to the new business model; a level playing field is needed.,Disagree,6,Ride-sharing platforms need to be regulated to avoid monopoly power related to large network effects.,Agree,6,
Baldwin,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Besley,Timothy J.,Uncertain,5,,Strongly Agree,10,,Strongly Agree,10,
Blanchard,Olivier,Agree,8,,Agree,8,,Agree,1,
Bloom,Nicholas,Strongly Agree,9,Uber offers more choice - consumers always benefit from choice. The fact so many choose Uber means it is a better service for so many.,Strongly Agree,10,"Competition is always good for consumers, so they clearly gain. Taxi companies of course hate it - nobody likes having to compete!",Strongly Agree,10,Many taxi regulations help taxi firms and harm consumers - they restrict choice and keep prices high. It's a classic producer union.
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Uncertain,4,,Agree,4,,Agree,4,
Danthine,Jean-Pierre,Uncertain,3,I cannot answer the question before assessing the justification and efficiency of existing regulation. ,Agree,4,"With a level playing field I agree that the new form of competition brings in benefits. The legacy of past licensing has to be address, howe",Uncertain,7,Some form of regulation may well be justified over the medium run even if it limits competition
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,9,"The main improvement is to do away with the license system that causes barriers to entry. Should comply with safety, insurance and taxation.",Agree,9,,Agree,9,
Fehr,Ernst,Agree,10,Barriers for entering the taxi market and collusion among taxi companies generate substantial rents in this market,Strongly Agree,1,,Strongly Agree,1,obvious
Freixas,Xavier,Agree,5,An excessively different regulation will unnecessarily reduce competition between two substitute services.  ,Strongly Agree,10,An application of classical microeconomic theory. Taxes on taxis should adapt.,Strongly Agree,10,For historical reasons the objective function in taxi regulation was related to tax revenue rather than consumer welfare
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Agree,6,,Agree,7,,No Opinion,,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Strongly Agree,5,I agree but existing owners of taxi licencesnshouldb be compensated on a scale depending on the lucence age,Agree,7,conditional on the caveat above,Agree,7,The licencing system with a predetermined number of licences should be replaced with one that only controls safety and similar stadards
Griffith,Rachel,Agree,6,Most customers will face lower prices. Where drivers make big investments (e.g. London) quality might decline meaning some consumers lose.,Strongly Agree,9,,Agree,7,"With qualification that in some cities (London) drivers invest in quality, and tougher price competition might diminish these investments."
Guerrieri,Veronica,Uncertain,5,,Agree,8,,Agree,8,
Guiso,Luigi,Strongly Agree,7,,Strongly Agree,7,,Strongly Agree,10,
Hellwig,Martin,No Opinion,,"The meaning of ""same"" and ""different"" is unclear. There are similarities as well as differences. How releveant are they?",Agree,7, There is a question whether such entry would not simply induce traditional suppliers to exit.,Uncertain,10,Key issues are price regulation and entry regulation. We need significant empirical information to assess their effects on consumers.
Honohan,Patrick,Disagree,2,Not sure that differential regulation good; there is scope for improvement in taxi regulation though.,Agree,2,,Agree,2,
Kőszegi,Botond,Disagree,6,,Agree,8,,Uncertain,6,
Kleven,Henrik,Uncertain,5,,Strongly Agree,7,,Strongly Agree,7,
Krahnen,Jan Pieter,Disagree,6,"Exempting ride sharing services from existing regulations would put taxi firms at an imposed disadvantage, undermining efficiency.",Agree,6,,Uncertain,6,"Welfare is affected by two effects, reduced competition (a minus), and increased safety/reliability (a plus). The sum is thus indeterminate."
Krusell,Per,Strongly Agree,9,,Strongly Agree,9,,Agree,8,
La Ferrara,Eliana,Uncertain,5,,Strongly Agree,7,,Agree,5,
Leuz,Christian,Disagree,7,"Uber is more than info society service as it sets price&driver pay, so treating as transport w/minimum quality reg makes sense.",Agree,9,Classic concerns about open entry mitigated with online platforms. Not letting them compete on equal footing likely violates EU law.,Agree,7,"Entry regulation mostly harmful. But there clearly is a case for (minimum) quality regulation, though some quality competition can be good."
Meghir,Costas,Uncertain,4,"The term regulation is vague. If by regulation we mean ensuring driver qualifications and car safety, these have to have a unified standard",Strongly Agree,9,,Agree,8,
Neary,Peter,Uncertain,3,"Taxis are excessively regulated in many cities, so increased competition is desirable. But regulation also has a role in protecting consumer",Agree,4,"More competition is desirable. In this scenario Uber's only advantage is its superior technology and organisation, likely to be short-lived.",Agree,4,
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Uncertain,1,,Agree,6,,Agree,5,
Pastor,Lubos,Uncertain,3,,Agree,3,,Agree,3,But some of them also help consumers by imposing standards. The net effect depends on the details. 
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Agree,1,In many European countries taxi services are over-regulated and too expansive,Strongly Agree,1,It would break up tacit collusion from existing large companies,Strongly Agree,1,It does not apply to all countries but some do have very strong restrictions and not enough consumer protection
Portes,Richard,Agree,8,Not the same regulation-->different products. Uber and London black cab qualitatively different. Black cabs also rightly get privileges.,Agree,8,"Licensed taxis should retain privileges (bus/taxi lanes, authorisation to pick up passengers hailing them on the street...) and compete.",Agree,8,"Licensing to confirm competences and confer corresponding privileges OK, but not to create rents through barriers to entry."
Prendergast,Canice,Agree,8,,Strongly Agree,9,,Agree,8,
Reichlin,Lucrezia,Disagree,5,,Agree,5,,Agree,5,
Repullo,Rafael,Agree,8,Given the arrival of new technologies it would make sense to think about the design the whole transport system starting from scratch.,Agree,6,"Aggregate consumer welfare should go up, although some consumers might be worse off. ",Strongly Agree,8,
Rey,Hélène,Agree,6,,Agree,6,,Agree,7,"Heterogeneous across countries. Density of cabs noticeably different across cities. Should be discussed together with congestion charge, etc"
Schoar,Antoinette,Agree,7,,Strongly Agree,9,,Agree,8,
Van Reenen,John,Agree,5,,Agree,6,,Agree,5,
Vickers,John,Agree,7,New technology changes the nature and extent of market failure.  (De)regulation should reflect that.,Agree,7,,Agree,7,
Voth,Hans-Joachim,Uncertain,7,"Uber etc are monopolization plays; where taxi regulation works today, as in most European cities, the long-run impact may be negative",Agree,1,,Uncertain,7,"The picture is mixed; some cities have been captured by the taxi lobby, as in the US; others boast cheap, safe, plentiful taxi services..."
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Disagree,8,"The business of these firms is not substantively different from taxis, so I don't see why they should be treated differently.",Strongly Agree,10,Imposing restrictions on a particular sub-set of the market is unfair and hurts consumers.,Strongly Agree,10,Restrictive regulations relating to pricing or quantity supplied are rarely a good idea unless there is a clear market failure. 
Wyplosz,Charles,Disagree,3,,Agree,6,,Strongly Agree,9,
Zilibotti,Fabrizio,Uncertain,5,Question is ambiguous. Regulation should be relaxed but the same for all operators.,Agree,10,,Strongly Agree,10,
