Last Name,First Name,It would serve the US economy well to make it unlawful for companies with revenues over $1 billion to offer goods or services for sale at an “unconscionably excessive price” during an exceptional market shock.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"It would serve the US economy well if companies making quarterly SEC filings were obliged to include a tabulation of all price changes of goods or services sold, together with the associated cost changes.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,"In principle yes, but implementing this could be difficult, and setting the right level is hard (so that supply responses are not dulled).",Agree,4,"This would be useful info for investors and regulators. Not clear whether just information provision is sufficient, but it's a first step."
Altonji,Joseph,Disagree,7,,Strongly Disagree,8,
Auerbach,Alan,Strongly Disagree,9,,Strongly Disagree,9,
Autor,David,Disagree,6,This just seems unenforceable at every level. What is unconscionable? Why only companies above $1 bil? ,Strongly Disagree,6,"This sounds like a bureaucratic nightmare. We need healthy competition policy, not a government that scrutinizes every price change!"
Baicker,Katherine,Disagree,3,,Disagree,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Agree,3,,Agree,2,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Disagree,9,,Disagree,8,
Cutler,David,Disagree,1,,Agree,1,
Deaton,Angus,Uncertain,7,"Confident that I don't know, nor what ""unconscionable"" means. Sympathetic to aims though.",Agree,5,
Duffie,Darrell,Agree,3,"Aware of the First Welfare Theorem, but morally there should be a limit to markups after a tragedy. The definition should be very specific.",Disagree,3,"Disclosure is helpful, but the benefit here seems to be exceeded by the cost, including the cost of securities litigation."
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Uncertain,5,"An existential threat to lives & livelihoods (circumstances akin to war): yes. A ""exceptional market shock"" though? What exactly qualifies?",Disagree,5,I'd question the information content and utility of such disclosures. Think cost estimates as used in anti-dumping actions.
Einav,Liran,Disagree,1,,Disagree,1,
Fair,Ray,Disagree,5,,Strongly Disagree,10,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Uncertain,6,"Why the 1 billion cutoff? How would we decide what ""excessive"" or ""exceptional"" is? Implementation seems impossible.",Disagree,6,It would introduce an incredible bureaucracy with no tangible benefits. Seems the first step towards price controls.
Goolsbee,Austan,Strongly Disagree,9,how are we back on this again?,Uncertain,4,Paasche or Laspeyres?
Greenstone,Michael,Disagree,5,,Disagree,5,
Hall,Robert,Strongly Disagree,8,Totally impractical!,Strongly Disagree,10,Even more impractical!
Hart,Oliver,Disagree,8,"The terms ""unconsciously excessive price"" and ""exceptional market shock"" are not well-defined and so enforcement would be a nightmare",Disagree,6,"The reporting would be costly for firms and intrusive, and I don't see the obvious benefits"
Holmström,Bengt,Disagree,5,"If this language is used, it seems far too vague. Price caps would be better then, but I don't think we are there yet.",Uncertain,5,"This idea is more creative than what was proposed in first part, but as a practical tool infeasible (what should it cover?)."
Hoxby,Caroline,Disagree,10,Prices reequilibriate mkts by generating supply & demand responses.Suppressing prices is counterprdctive except in ST events like hurricanes,Disagree,10,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Judd,Kenneth,Strongly Disagree,7,"What is the definition of ""unconscionable""? Laws must be far clearer and more precise than vague phrases that express moral sentiments.",Disagree,5,What would SEC do with this? Putting into a form for SEC would be costly. Making this info public may be good if there was some purpose.
Kaplan,Steven,Strongly Disagree,8,,Strongly Disagree,10,"Benefits are unclear, if non-existent, while costs are likely meaningful. "
Kashyap,Anil,Disagree,5,,Strongly Disagree,7,
Klenow,Pete,Strongly Disagree,3,,Uncertain,10,"The data on price changes might be helpful, but we have the CPI and PPI already and I would be skeptical about reported cost changes."
Levin,Jonathan,Strongly Disagree,5,,Uncertain,4,The regulatory burden seems high and I'm not clear what use of these data is envisioned
Maskin,Eric,Disagree,7,"At a time of shortage, high prices can serve to stimulate an increase in supply.",Disagree,7,
Nordhaus,William,Strongly Disagree,9,,Strongly Disagree,9,
Obstfeld,Maurice,Disagree,4,,Disagree,4,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Disagree,6,"Price gouging should be prohibitive, but ""unconscionably excessive"" is vague and good stock markets is not an obvious trigger. ",Disagree,6,"The compliance burden would be high, with no indication of how the information will be used or what benefits it will bring."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Strongly Disagree,8,,Strongly Disagree,8,
Shapiro,Carl,Disagree,8,"The first step is to define an ""unconscionably excessive price"". One that is done, economists can evaluate the effects of this bill. ",Strongly Disagree,10,
Shimer,Robert,Disagree,8,,Strongly Disagree,10,
Stock,James,Disagree,4,,Disagree,8,
Thaler,Richard,Disagree,5,Hard to define. ,Strongly Disagree,7,Too costly. 
Udry,Christopher,Uncertain,5,"Obvious answer is ""strong disagree"" as in Econ 101. But there are rare circumstances where markets are noxious and alt allocation is best.",Disagree,5,I would expect this would be easy for firms to manipulate. Seems wasteful.
