Last Name,First Name,The Fed should raise its target interest rate when it meets in mid-December.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"The Fed should have raised interest rates sooner, rather than leaving them near zero for this long.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,7,Persistent low interest create credit misallocation as in the runup to the global crisis. This has to be balanced against Keynesian factors.,Agree,5,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,7,,Disagree,7,
Auerbach,Alan,Agree,3,,Uncertain,3,
Autor,David,Uncertain,1,,Disagree,3,
Baicker,Katherine,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Disagree,6,,Disagree,6,
Bertrand,Marianne,Uncertain,2,,Uncertain,2,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,5,Low labor force participation rate and inflation but uncertainty over when it will happen is bad.,Disagree,3,
Cutler,David,Disagree,4,,Strongly Disagree,7,
Deaton,Angus,Agree,6,,Disagree,6,
Duffie,Darrell,Agree,8,"The FOMC should raise, given no big interim adverse shocks, to mitigate inflation risk. The macro vital signs look healthy enough now.",Disagree,8,It's been a close call. That the tradeoffs favored an earlier exit was not clear. Inflation was too low. Job creation was moderately good. 
Edlin,Aaron,Agree,6,,Disagree,6,
Eichengreen,Barry,Agree,5,"This week's job data are enough to put me somewhat reluctantly in the agree column, though I would like to see more evidence of 2% inflation",Disagree,9,
Einav,Liran,Uncertain,3,,Uncertain,3,
Fair,Ray,Agree,4,,Disagree,4,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,,Disagree,5,
Goolsbee,Austan,Disagree,7,dangerous & loosening world. still no US inflation. reversal in near future would damage credibility of already credibility-deficited fed ,Strongly Disagree,10,no way
Greenstone,Michael,Disagree,5,where are price pressures? still a lot of people missing from the labor market.  boogeyman of bubbles always lurks but where is she?,Strongly Disagree,5,fiscal policy was absent after the stimulus (see link)  even today millions of potential workers are missing from the job market
Hall,Robert,Disagree,9,The Fed has somewhat overstated the current level of the natural unemployment rate and fails to understand that it is falling.,Strongly Disagree,10,"The Fed's job is to stabilize inflation, barring significant inflationary shocks, and inflation continues to run below any reasonable target"
Hart,Oliver,Disagree,5,I don't think so. The recovery is still weak and there are no serious signs of inflation. Also a little inflation may be good.,Disagree,5,See answer to last question.
Holmström,Bengt,Agree,7,,Disagree,3,
Hoxby,Caroline,Agree,8,,Agree,6,
Hoynes,Hilary,Agree,7,,Disagree,9,
Judd,Kenneth,Uncertain,8,"The Fed spends many 10^7 dollars annually on econ research. In mid-2008, the Fed did not think that a crisis was at hand. With my budget...",Uncertain,8,I cannot be more knowledgeable than the Fed.
Kaplan,Steven,Agree,8,,Agree,5,Delay in raising may have inflated asset prices.
Kashyap,Anil,Strongly Agree,9,"As Mike Mussa once famously said ""if not now, when?"". ",Agree,5,"certainly would have voted to raise in september, there are always excuses to delay, time to put two way risk back into the bond market"
Klenow,Pete,Disagree,5,"Inflation has fallen below the Fed's 2% target for over three years running, and is forecast to remain below for at least awhile.",Disagree,5,
Levin,Jonathan,No Opinion,,Has more attention ever been paid to 25 basis points? We could amend the constitution with less fuss.,Disagree,1,
Maskin,Eric,Disagree,5,Current inflation remains far below the target level,Disagree,7,Inflation was low and the recovery was weak---low interest rates seemed indicated.
Nordhaus,William,Agree,9,,Strongly Disagree,9,Note that this does not allow for those who think should be later. Survey bias.
Saez,Emmanuel,Agree,5,,Strongly Disagree,6,
Samuelson,Larry,Agree,8,"The conventional wisdom is that the strong November jobs report clinches a rate increase, and I see no reason to disagree.",Disagree,6,"Inflation has been surprising dormant, so there appear to have been few adverse consequences of prolonged low rates."
Scheinkman,José,Agree,5,,Disagree,7,
Schmalensee,Richard,Agree,3,,Uncertain,4,
Shapiro,Carl,Uncertain,1,,Disagree,1,
Shimer,Robert,Strongly Agree,5,,Agree,5,"But only two meetings ago, in October"
Thaler,Richard,Uncertain,1,.25 bps doesn't matter much either way.  It is the slope that matters. Go slow I say.,Disagree,8,Congress gave them no choice.  We should have been borrowing at negative r and building infrastructure. And no inflation in sight.
Udry,Christopher,No Opinion,,,No Opinion,,
