Last Name,First Name,"Revising France’s labor market policies — by reducing employment protection, decentralizing labor negotiations to the firm level, and making training programs more accessible and responsive to labor demands — would, all else equal, increase productivity in France’s economy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Reducing employment protection would reduce the equilibrium unemployment rate in France.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,7,"Giving flexibility should improve things in the long run. The short run effects may be more problematic if there is a lot of dissent,",Agree,7,This seems to have been the case in other countries.  The unions response may lead to a different outcome in the case of France.
Antras,Pol,Agree,7,,Agree,8,Given the current environment it seems extremely likely that the impact on job creation would far outweigh the lower cost of job destruction
Bénassy-Quéré,Agnès,Strongly Agree,10,"The extensive margin of productivity growth is relatively poor in France + the training system is very unequal, both for youth and adults.",Uncertain,5,It would reduce employment inequalities but maybe not the aggregate unemployment rate which depends also on a better matching process.
Baldwin,Richard,Did Not Answer,,,Did Not Answer,,
Besley,Timothy J.,Agree,6,,Agree,6,
Blanchard,Olivier,Agree,7,"those reforms are the right ones and should be implemented.  Based on past empirical evidence, they should work.  But one can never be sure.",Uncertain,9,"Such a reform changes the nature of unemployment (shorter duration, higher flows) for the better.  Net effect on the rate is ambiguous.  "
Bloom,Nicholas,Strongly Agree,8,France is death by red tape -  what the US could become with 20 more years of creep of regulations and occupational licensing ,Agree,8,
Blundell,Richard William,Agree,8,"Increasing productivity has been a particularly difficult nut to crack, and not just in France. Some careful deregulation is a key part. ",Agree,8,The key is a balance of both human capital and employment. Youth unemployment is a major issue. The redesign of emp p is central to this.
Carletti,Elena,No Opinion,,,No Opinion,,
Danthine,Jean-Pierre,Strongly Agree,10,,Strongly Agree,9,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,7,,Agree,6,"More than reducing the unemployment rate, it would lead to a huge reduction in unemployment duration."
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,8,,Agree,8,
Galí,Jordi,Agree,8,,Uncertain,7,"It is likely to increase employment volatility (bad, it may improve efficiency (good), but the effect on the unemployment rate is unclear."
Garicano,Luis,Strongly Agree,8,My own research (with Van Reenen and Lelarge) shows size dependent labour regulations make it hard for productive firms to grow,Agree,9,Again see our research  and our summary of other´s work 
Giavazzi,Francesco,Strongly Agree,8,The positive experience of the Italian jobs Act,Strongly Agree,8,
Griffith,Rachel,Agree,9,,Agree,6,
Guerrieri,Veronica,Strongly Agree,9,,Uncertain,9,
Guiso,Luigi,Agree,5,there is poor shared consensus in France to labor market liberalization anoductivity negatively,Uncertain,9,may be frcitional unemploymnet may be marginally affected in the long run 
Hellwig,Martin,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Uncertain,5,"This is a conplex political economy issue.  If done well, could increase employment and TFP in long run; short-run cloudy.",Agree,5,A long run equilibrium
