Last Name,First Name,"Over the next decade, autonomous cars will raise average welfare in the EU by at least as much as smartphones have over the past decade.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Disagree,4,Autonomous cars may take some time before they are widely used. 
Antras,Pol,Uncertain,9,"This is a tough question for economists to answer given scant available evidence. And, regrettably, I have misplaced my crystal ball."
Bénassy-Quéré,Agnès,Agree,7,"The impact of smartphone is much debated, so doing at least as well is not a very big deal."
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Uncertain,5,It may.  it may not.  Anybody who gives a more affirmative answer knows a lot more than me.  
Bloom,Nicholas,Disagree,8,"10 years it too short to change the infrastructure around cars. In 25 years maybe this will be true, or maybe we will have flying cars!"
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Uncertain,5,
Danthine,Jean-Pierre,No Opinion,,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Agree,5,I believe the gains are big. But so are the gains from smart phones. So the only uncertainty is which will be bigger.
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Disagree,3,
Galí,Jordi,Uncertain,2,Have smartphones raised average welfare? 
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Disagree,3,
Griffith,Rachel,Disagree,4,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Strongly Agree,8,
Honohan,Patrick,Disagree,1,Smartphones have impact on wider range of activities;10 years too short for autonomous cars to have reached high enough penetration.
Kőszegi,Botond,Uncertain,6,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,5,"Autonomous cars are relevant for urban areas, whereas smartphones have affected the life of almost everybody, thus a larger  welfare effect."
Krusell,Per,Strongly Disagree,2,"Smartphones appear far more valuable for consumption and production. I am very far from an expert on either topic, hence the low confidence."
La Ferrara,Eliana,Disagree,2,
Leuz,Christian,Uncertain,5,"A.cars reduce opp. cost & productivity, but impact could take longer. Relat magnitude unclear. Sm phone hard to assess, so many apps & uses"
Meghir,Costas,Did Not Answer,,
Neary,Peter,Uncertain,3,Autonomous cars could contribute to lower emissions and greatly reduced congestion; but only with consistent urban planning 
O'Rourke,Kevin,Did Not Answer,,
Pagano,Marco,Agree,5,
Pastor,Lubos,Disagree,3,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Strongly Disagree,10,Smartphones have given access to millions to new information and opened up channels of communication. Autonomous cars will get nowhere near
Portes,Richard,Strongly Disagree,3,
Prendergast,Canice,Disagree,8,
Reichlin,Lucrezia,No Opinion,,
Repullo,Rafael,Disagree,4,
Rey,Hélène,Disagree,5,There are lots of alternative means of transport (public transport) more able to avoid congestion and pollution.
Schoar,Antoinette,Uncertain,7,"average person is better off: not wasting time in traffic; fewer accidents. But many drivers lose jobs, their outside options are uncertain"
Van Reenen,John,Disagree,4,
Vickers,John,Uncertain,3,
Voth,Hans-Joachim,Uncertain,10,"In 1960, people thought that machine translation was around the corner... "
Weder di Mauro,Beatrice,Disagree,7,
Whelan,Karl,Disagree,5,"Even with technological progress in this area, my guess is it will face substantial regulatory barriers before being widely adopted."
Wyplosz,Charles,No Opinion,,
Zilibotti,Fabrizio,Disagree,4,
