Last Name,First Name,Past experience suggests that economic sanctions do little to deter the target countries from their course of action.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,This is true for limited sanctions being imposed on Russia. Much more comprehensive sanctions as in South Africa or Iran would be effective.
Alesina,Alberto,Uncertain,3,
Altonji,Joseph,Uncertain,2,
Auerbach,Alan,Uncertain,3,
Autor,David,Disagree,6,"Not a good experiment, but sanctions appear effective sometimes, e.g., Iran, South Africa. "
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Disagree,7,"I think a part of what made Iran come to bargaining table has to do with the sanctions, though I have no way to  prove this."
Bertrand,Marianne,Disagree,3,
Brunnermeier,Markus,Disagree,8,Sanctions bite often only with a long delay and the effectiveness depends on the circumanstances. (South Africa and Iran vs. North Korea)
Chetty,Raj,No Opinion,,
Chevalier,Judith,Did Not Answer,,
Currie,Janet,Did Not Answer,,
Cutler,David,Uncertain,5,
Deaton,Angus,Disagree,7,
Duffie,Darrell,Disagree,3,
Edlin,Aaron,Agree,4,
Eichengreen,Barry,Uncertain,5,"I waver between uncertain and agree. Much depends on the form of the sanctions, the behavior they're designed to deter, etc."
Einav,Liran,Uncertain,1,
Fair,Ray,Agree,5,
Finkelstein,Amy,Uncertain,7,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Disagree,5,"often do little, but can deter if significant and applied effectively"
Greenstone,Michael,Disagree,7,"""Course of action"" is vague. Sanctions & their threat alter the calculus by raising costs & thus affect decisions.   but not a cure all "
Hall,Robert,Uncertain,1,Not acquainted with the evidence. 
Hart,Oliver,Disagree,4,"My sense is that economic sanctions were important in ending apartheid in South Africa, and are leading Iran to negotiate with the West."
Holmström,Bengt,Agree,6,
Hoxby,Caroline,Uncertain,10,"Depends on country, its trade, its politics. Also, sanctions that are initially apparently ineffective can gradually undermine a regime."
Hoynes,Hilary,Agree,7,
Judd,Kenneth,Disagree,7,"Sanctions are signals. Putin would be surprised if NATO said nothing about Crimea, and might read it as a green light to be more aggressive."
Kaplan,Steven,Uncertain,5,
Kashyap,Anil,Agree,5,Hard to design & sustain in a way that ends up only harming the offender.  Better to boycott the world cup in Russia +embarass FIFA too!  
Klenow,Pete,Disagree,3,"It surely works sometimes (e.g. against the Apartheid regime).  Restrictions on Odious Debt could also help, though NA for Russia today."
Levin,Jonathan,Agree,3,"I'm no expert on this, but Int. Relations literature seems to conclude sanctions often don't work that well."
Maskin,Eric,Uncertain,6,
Nordhaus,William,Agree,3,Referring to economic or political sanctions. 
Obstfeld,Maurice,Uncertain,4,
Saez,Emmanuel,Disagree,3,
Samuelson,Larry,Uncertain,6,"We have evidence both ways - sanctions of Myanmar and North Korea have accomplished little, while sanctions on Iran may be useful."
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Agree,5,"I'm sure there are exceptions, but not many."
Shapiro,Carl,No Opinion,,
Shimer,Robert,Agree,5,Effectiveness must depend on the openness of the target economy and the uniformity of the application of sanctions
Stokey,Nancy,No Opinion,,
Thaler,Richard,No Opinion,,"I don't trust my memory to run a mental regression with sanctions on the right hand side.  In principle, there should be sanctions that work"
Udry,Christopher,Disagree,7,"The evidence is that sanctions can be effective, particularly when the goal is limited."
