Last Name,First Name,"At this point, there is little that the European Central Bank can do to increase or maintain output in the Eurozone.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"When the economy is operating below its potential, larger fiscal deficits are likely to increase demand and output.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"When the economy is operating below its potential and monetary policy is at the effective lower bound, fiscal policy should prioritize increasing output over decreasing public debt.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,It is probably close to the limits of what it can achieve using previous tools. But there may be new ones they can come up with.,Uncertain,5,Maybe in the short run but in the long run good investment decisions associated with innovation are likely to have more effect.,Uncertain,5,It depends on the circumstances of the country.  If it is not very indebted and public investment would be beneficial then it makes sense.
Antras,Pol,Uncertain,5,,Agree,5,"Debate is largely about how much and on how to do it (increase spending and on what, cut taxes, etc.)",Agree,6,
Bénassy-Quéré,Agnès,Agree,4,,Strongly Agree,10,The problem is to calculate the potential.,Agree,5,To the extent that the government can borrow at fixed long term rate
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,9,"The ECB can buy large quantities, but with little effect on prices. (so long as it keeps the capital key, and it does not buy exotic assets)",Strongly Agree,9,"Unless utterly irresponsible, in which case adverse effects may dominate",Strongly Agree,9,costs of debt small.  (output) benefits of deficits large
Bloom,Nicholas,Disagree,7,,Agree,7,,Uncertain,7,
Blundell,Richard William,Uncertain,2,,Agree,2,,Uncertain,2,
Carletti,Elena,Uncertain,4,,Uncertain,4,,Uncertain,4,
Danthine,Jean-Pierre,Agree,9,,Agree,9,,Agree,9,
De Grauwe,Paul,Agree,7,We are still in a liquidity trap making it difficult for a central bank to boost the economy without fiscal stimulus,Agree,8,,Agree,8,
Eeckhout,Jan,Agree,6,,Uncertain,6,,Uncertain,7,
Fehr,Ernst,Agree,8,,Agree,8,,Agree,5,
Freixas,Xavier,Strongly Agree,6,,Strongly Agree,8,,Uncertain,10,It depends upon the existing level of public debt and its impact on sovereign risk.
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Agree,8,,Agree,8,,Agree,8,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Uncertain,10,,Agree,5,,Disagree,7,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Uncertain,8,,Agree,9,,Uncertain,10,
Guiso,Luigi,Agree,8,,Uncertain,6,,Uncertain,7,
Honohan,Patrick,Disagree,10,"Still some unused powder: Restart QE; remove ceiling on holdings; tilt purchases towards high yield assets, etc.",Agree,10,,Agree,,
Javorcik,Beata,Uncertain,3,,No Opinion,,,Agree,7,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,6,The ECB can influence output via interest rates if and only if the investment function is monotonic everywhere. But this may not be true.,Uncertain,6,"There are two caveats in the statement: first, output is below potential, and second, Ricardian equivalence does not hold.  ",Disagree,6,"I disagree because of unconditional nature of the statement. What if Ricardian equivalence holds, and investment function bends backwards?"
