Last Name,First Name,"The four largest domestic US banks currently have around 40% of the industry’s domestic assets (an average of 10% each).  In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).


Capping US banks’ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,Political connections and systemic effects of risktaking make concentration in  finance likely more pernicious than elsewhere. 4% a ?,Uncertain,5,Against the benefits of lower systemic risk there is the loss of business to other financial centers. Global regulation would be better.
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Agree,3,,Disagree,5,
Autor,David,Agree,3,,Agree,3,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Agree,6,,Agree,6,
Bertrand,Marianne,Agree,4,,Agree,4,
Brunnermeier,Markus,Uncertain,6,"Trouble makersLehman & Bear Stearns were smaller banks. On the other hand, smaller banks are easier to dissolve & less political influence. ",Uncertain,5,"Technology will lead to a reshaping of the financial industry. Some aspect will have scale advantages, others not. "
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,5,Complicated: size is only one factor.,Uncertain,4,There are clearly some countervailing benefits to size. 
Cutler,David,Disagree,1,,Uncertain,1,
Deaton,Angus,Disagree,2,,Disagree,2,
Duffie,Darrell,Agree,10,"But it's not smart. Banning financial firms also lowers fiinancial systemic risk, but does not serve economic welfare. Use capital regs.  ",Disagree,10,"A 4% cap might be OK for now, but too low later, causing distortions. Require instead higher minimum capital ratios for larger banks. "
Edlin,Aaron,Agree,3,,No Opinion,,
Eichengreen,Barry,Agree,5,"""Too big to manage"" can be a problem.  Not the only problem of course.  Small banks can also fail, threatening financial stability.",Agree,5,Size alone confers no benefits to consumers and arguably is one source of costs (those associated with financial instability).
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Agree,7,,Agree,4,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Uncertain,7,depends how you did it but size alone isn't what's dangerous-it's interconnectedness. And you can't ignore non-bank financial institutions.,Disagree,5,"Without dealing with shadow banks, this rule alone would mostly drive consumers to non-banks outside the rules."
Greenstone,Michael,Uncertain,2,"too many other factors matter such that question is challenging to answer confidently, e.g., what about capital holding requirements?",Uncertain,2,we are missing decisive evidence on whether benefits of large banks exceed their costs
Hall,Robert,Uncertain,7,"Systemic risk arises when speedy resolution of insolvency does not occur. With proper non-bailout resolution, big banks are fine.",Uncertain,7,see A
Hart,Oliver,Agree,8,With banks being smaller no single bank's failure would lead to serious contagion or undermine the confidence of investors and depositors.,Uncertain,5,There are benefits of large banks as well as costs. Regulation should include shadow banks and be more flexible than a cap on size.
Holmström,Bengt,Disagree,5,,Disagree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,8,,Uncertain,8,
Judd,Kenneth,Uncertain,7,My worry is that most banks pursue similar business strategies. Many banks doing risky things is no safer than a few banks doing the same.,Uncertain,7,"I have antitrust concerns. If a bank's 4% is concentrated in one region, then it may have excessive market power."
Kaplan,Steven,Uncertain,3,Very hard and difficult question.  Cannot say much without a lot more information.,Uncertain,9,"Banks are large in other countries, suggesting size is a net positive.  On the other hand, size was a problem in the financial crisis."
Kashyap,Anil,Disagree,7,shadow banking risks would grow substantially if we go this route and we already saw that they were at the heart of the last crisis,Uncertain,3,"I think there are probably some economies of scale that consumers benefit from, but hard to know how much would be lost from downsizing."
Klenow,Pete,Uncertain,2,,Uncertain,2,
Levin,Jonathan,Uncertain,4,,Uncertain,4,
Maskin,Eric,Agree,5,Having more and smaller banks would probably increase diversification,Disagree,6,There are benefits of bigness that would be lost by breaking up banks. Limiting leverage is a more effective tool
Nordhaus,William,Disagree,3,No evidence in favor. Unclear how to do without collateral damage it other than current approach of graduated capital requirements.,Disagree,3,Same as above.
Saez,Emmanuel,Agree,3,,Agree,2,
Samuelson,Larry,Agree,6,"Other alternatives, such as appropriately regulating reserves and leverage, would also be effective.",Agree,6,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Uncertain,4,"The shadow banking system, which is important in this context, would change in response to such a rule, with unknown effects.",Agree,4,"There would be somewhat more intense competition, which would be beneficial, but there would also be other difficult-to-evaluate effects."
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Uncertain,3,,Uncertain,1,
Thaler,Richard,Agree,7,,Uncertain,1,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,
