Last Name,First Name,The balance of federal and local government support to address the economic impact of the crisis has thus far been tilted too much towards supporting firms rather than individuals.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Government provision of financial support to firms to keep workers on payroll for the duration of the lockdown will make the recovery faster than if the only recourse for workers to replace income were unemployment insurance.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,Protecting the supply chain against collapse is important as well,Agree,3,Protecting firm-worker and firm-firm matches from being destroyed is valuable
Alesina,Alberto,Uncertain,3,,Agree,5,
Altonji,Joseph,Uncertain,5,,Agree,4,
Auerbach,Alan,Disagree,3,,Uncertain,3,
Autor,David,Disagree,6,The U.S. overshot on increasing UI generosity rather than paying firms to retain workers. Other countries have done far better. ,Strongly Agree,7,"Those worker-firm relationships were valuable. CARES subsidizes firms and workers to break those bonds, and this may slow recovery"
Baicker,Katherine,Uncertain,3,,Agree,3,
Banerjee,Abhijit,Uncertain,5,,Agree,5,
Bertrand,Marianne,Uncertain,7,,Agree,5,"In theory, yes. But implementation of PPP programs so far seems to be a failure. "
Brunnermeier,Markus,Uncertain,5,,Strongly Agree,7,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,5,"But my real criticism is that too little of the spending has been aimed at the virus itself - testing capacity, etc.",Uncertain,8,
Cutler,David,Uncertain,3,,Agree,5,
Deaton,Angus,Uncertain,5,,Agree,7,
Duffie,Darrell,Uncertain,1,Hard to say. Subsidizing firms to reduce worker separations may help workers quite a lot. This calls for an analysis that I have not done.,Agree,3,"UI alone delays rematching workers and firms, and reduces the quality of matches, especially with a staggered restart (places and sectors)."
Edlin,Aaron,Strongly Agree,8,Supporting firms invites graft and lining the pockets of buddies,Agree,8,care must be taken to be supporting workers.
Eichengreen,Barry,Uncertain,5,"Both firms & individuals need (more) support. In terms of who should get more, much depends on what you think firms will do with their money",Uncertain,5,Keeping them on payroll will limit suffering & loss of insurance.  It will avoid rupturing connections.  But it will also slow reallocation.
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Uncertain,5,
Finkelstein,Amy,Uncertain,8,,Uncertain,8,
Goldberg,Pinelopi,Disagree,5,See Question B):  Keeping people on payroll is a more effective way to support individuals,Strongly Agree,6,
Goolsbee,Austan,Strongly Agree,10,"When people die, they can’t reorganize and come back.",Uncertain,6,Pay-to-stay only works if we can go back to what we were doing before not if some industries are changed permanently. The virus is the boss.
Greenstone,Michael,Agree,2,,Agree,2,
Hall,Robert,Disagree,5,"In principle, it doesn't matter which side is subsidized. But he actual law is better at preserving employment on the employer side.",Agree,1,"UI in practice does not have job-preserving features, whereas subsidies to employers are conditioned on retaining workers, which is good. "
Hart,Oliver,Strongly Agree,8,It makes sense to support individuals who have lost their incomes. Firms can close for a period or renegotiate their contracts.,Uncertain,5,I don't see why furloughed workers cannot be called back. During the crisis they may also be usefully employed elsewhere.
Holmström,Bengt,Uncertain,3,,Agree,4,
Hoxby,Caroline,Strongly Agree,10,The logic of social insurance indicates that working through firms is inefficient and poor targeting. ,Uncertain,10,The furlough provisions of CARE act offer a combination of job protection and pay replacement. The choice posed in the question is false one 
Hoynes,Hilary,Agree,5,,Strongly Agree,8,
Judd,Kenneth,Agree,8,"Certainly way too much help for large firms. Some big firms will benefit from the forgivable ""loans"".
",Uncertain,7,"Firms can use that money to pay workers they were going to keep. UI has often been used for layoffs. Good UI system would be best option.
"
Kaplan,Steven,Disagree,8,,Agree,8,
Kashyap,Anil,Uncertain,7,"do you think the firms ultimately will wind up insolvent rather than just illiquid? not clear now, lots of second guessing is inevitable",Uncertain,7,"disclosure: I am on the academic panel advising the Fed on its main street lending facility; on the question, see caveat to question a"
Klenow,Pete,Disagree,4,Loans to firms could be forgivable if they furlough and recall their workers ex post.,Agree,4,
Levin,Jonathan,Uncertain,3,"Both needed. Critical to support workers, and to ensure jobs are there as activity restarts.",Agree,3,"Given high job loss, creating incentives to rehire will also be important as we restart activity. "
Maskin,Eric,Uncertain,4,,Agree,7,
Nordhaus,William,Agree,6,,Uncertain,1,
Obstfeld,Maurice,Uncertain,4,,Strongly Agree,7,
Saez,Emmanuel,Uncertain,6,,Agree,7,
Samuelson,Larry,Uncertain,1,It appears as if we need more support to both firms and individuals.,Agree,8,"Preserving the matching of workers to firms, by retaining workers on firms' payrolls, would hasten recovery by eliminating one step.
"
Scheinkman,José,Uncertain,6,"Probably balance tilted too much to large firms and financial institutions as opposed to SMBs, health-care delivery and individuals.",Agree,8,Specially for small and medium enterprises.
Schmalensee,Richard,Agree,5,"Certainly tilted too much toward large firms that can survive bankruptcy, as the airlines have done, rather than small firms that can't.",Strongly Agree,5,"Keeping employment relationships intact will speed recovery, but there must be direct aid for the unemployed, particularly the undocumented."
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,8,
Shimer,Robert,Disagree,5,,Agree,6,"But this might keep some firms going, even if they should go bankrupt"
Stock,James,Disagree,5,,Agree,7,
Thaler,Richard,Uncertain,1,Hard to judge. ,Agree,6,
Udry,Christopher,Agree,3,"There are some egregious examples, but I'm not sure wrt the overall balance.",Agree,8,Help in both directions is important to maintain the network of connections between firms and employees. 
