Last Name,First Name,"Policy Responses to Recent Bank Failures
 

The response to recent bank failures should be to: Expand central banks’ lender of last resort facilities for banks.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Substantially increase the limit on bank deposit insurance.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Substantially increase bank capital requirements.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Use market values of all traded assets to compute banks’ regulatory capital.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,In some cases this may help but in others it may not.  It's not clear central banks have done a very good job in recent years.,Disagree,5,It doesn't seem likely that increasing deposit insurance is helpful. Firms and individuals can buy government securities or mutual funds that buy them if they are concerned about default risk.,Uncertain,5,"It is not clear we measure bank capital in a good way.  Perhaps more importantly, we don't have good theories of bank capital that are widely agreed. ",Uncertain,5,"This would be an improvement over current rules probably.  However, it doesn't deal with the problem of untraded assets."
Antras,Pol,Uncertain,8,,Agree,5,,Agree,5,,Agree,5,
Bénassy-Quéré,Agnès,Disagree,10,,Disagree,8,,Disagree,8,,Uncertain,5,
Blanchard,Olivier,Uncertain,7,"I just do not understand the statement.  The LOL role is already available for banks.  Is the proposal to make it more generous, to extend it to other institutions? ",Agree,6,I don't think the moral hazard issue is partlcularly serious in this context.  ,Uncertain,1,,Uncertain,5,
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,6,,Uncertain,6,,Agree,6,,No Opinion,,
Carletti,Elena,Agree,8,,Strongly Disagree,10,,Strongly Disagree,10,,Disagree,10,
Danthine,Jean-Pierre,Agree,7,But it should not be the only response!,Agree,7,Together with a stronger monitoring and regulation of banks' risk taking activity,Agree,7,,Strongly Agree,6,
De Grauwe,Paul,Disagree,7,,Disagree,6,,Agree,7,,Disagree,7,
Eeckhout,Jan,Disagree,7,,Agree,6,,Strongly Agree,9,,Uncertain,5,
