Last Name,First Name,The fiscal rules of the European Union should give more flexibility to member countries.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,The Italian budget for 2019 that the European Commission rejected in October would have increased Italy’s risk of fiscal insolvency substantially.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"If France runs a 2019 budget deficit of around 3.4% of GDP, as announced by President Macron’s government, France’s risk of fiscal insolvency will increase substantially.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Disagree,5,There are arguments both ways.  Not fully persuaded either way.,Agree,6,Italy has significant fiscal problems.  They need to get their debt under control.,Disagree,6,France's fiscal situation is still under control.  The problem is the effect on the Commission's interaction with Italy.
Antras,Pol,Uncertain,5,,Uncertain,5,,Uncertain,5,
Bénassy-Quéré,Agnès,Uncertain,5,More flexibility in the sense of more leeway for counter-cyclical policies; not in the sense of an ever rising debt nor even more complexity,Disagree,8,The problem is not the deficit of 2019 but its use and the lack of commitment for the future.,Strongly Disagree,10,Due to double counting the deficit is inflated by 0.9pp and France has no problem of market access. But commitment to adjust necessary.
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,8,"the rules are rigid, but are broken with great regularity.  There must be a better way.  ",Disagree,9,"bad, but not the end of sustainability.  https://piie.com/publications/policy-briefs/impact-italys-draft-budget-growth-and-fiscal-solvency",Strongly Disagree,9,"with r less than g, debt dynamics are more favorable than they used to be.  Some deficits, when needed, are ok.  "
Bloom,Nicholas,Uncertain,3,,Strongly Agree,8,,Agree,3,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Uncertain,10,It depends on what flexibility could be used for. ,Agree,10,"the main problem is what the deficit was supposed to be used for, not necessarily the size of the deficit. ",Disagree,10,
Danthine,Jean-Pierre,Agree,2,,Disagree,3,Needs to distinguish between a one-shot deviation from set deficit limit and a significant weakening of commitment to decrease debt to GDP ,Strongly Disagree,1,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Uncertain,6,,Agree,7,,Disagree,7,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Agree,8,"Given the limited synchronisation, and the single monetary policy, it is desirable to have a strong stabilizing tool at the country level. ",Uncertain,4,,Disagree,7,"Not if the increase is transitory. Developments in r, g and pi may dominate the impact of a small increase in the structural deficit"
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Agree,6,provided more flexibility at the country kevel is accompanied by more “market discipline”,Strongly Agree,6,,Uncertain,5,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Uncertain,7,,Agree,7,,Disagree,7,
Guiso,Luigi,Disagree,6,the common currency requires some fiscal discipline at the national level,Strongly Agree,9,the issue is not the size of  budget per se but that it introduces a number of permanent commitments on government expenses    ,Disagree,8,"France has still fiscal room, measures are transitory"
Honohan,Patrick,Agree,8,,Uncertain,6,But further deterioration in deficit could quickly bring trouble.,Disagree,6,But has substantial consequences for future ability of Macron administration to achieve domestic and European reforms...
Javorcik,Beata,Agree,6,,Strongly Agree,9,,Disagree,7,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Disagree,6,"The rule itself should be rock-solid, the user should herself select the buffers required to achieve the desired degree of flexibility.",Agree,6,It increasese default probability through its indirect effect on future debt incentives;  while the direct effect may be negligible.,Uncertain,5,"As in the case of Italy, rule-breaking carries the risk of repetition, although to a lessor extent for France."
Krusell,Per,Disagree,6,,Agree,6,,Disagree,4,
La Ferrara,Eliana,Agree,3,,Agree,3,,Uncertain,1,
Leuz,Christian,Agree,3,Flex good to avoid pro-cyclical tightening but issue is time inconsistency&incentives. Adopt bounds for deficits that depend on cycle in EU?,Uncertain,2,"Deficit was not much above rules, but debt is high & spreads reacted accordingly. Bigger issue may have been budget broke earlier promises.",Agree,2,"Absolute level still low, but rel. increase in spreads is substantial. Main concern is that reason for larger deficit is inability to reform"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Agree,8,,Disagree,8,
Neary,Peter,Agree,7,"Maastricht rules are very restrictive. Some kind of closer fiscal union needed to control moral hazard, but stabilisation more important ",Agree,6,The right decision given current rules - which should be changed. ,Agree,6,What’s good for Italy ... 
O'Rourke,Kevin,Agree,8,,Disagree,6,,Disagree,6,
Pagano,Marco,Disagree,5,,Strongly Agree,9,,Agree,5,
Pastor,Lubos,Agree,8,"Yes but only after reforms making sovereign default possible (e.g., break the doom loop). Cannot use monetary policy => need fiscal policy.",Agree,8,"Italy's public debt is uncomfortably large, growth rate uncomfortably low, and monetary policy is in the hands of the ECB.",Disagree,8,"increase, yes, but substantially, no."
Persson,Torsten,Uncertain,6,,Agree,6,"Main risk may not be the direct fiscal effects, but the indirect effetcs via a higher interest spreads and defaulting banks.  ",Disagree,7,
Pissarides,Christopher,Strongly Agree,10,Member countries are still exposed to different shocks and fiscal policy should partly respond to idiosyncratic requirements,Uncertain,7,Depends on the commentary from the European Commission and on the fiscal policies agreed at central policy level,Disagree,8,France is less at risk than Italy (better finances and debt) and Macron's policies should bring more growth in the medium term
Portes,Richard,Strongly Agree,9,,Disagree,7,,Strongly Disagree,9,
Prendergast,Canice,Uncertain,8,,Agree,7,,Uncertain,7,
Reichlin,Lucrezia,Disagree,10,,Agree,10,,Disagree,8,
Repullo,Rafael,Agree,6,,Uncertain,6,,Disagree,6,
Rey,Hélène,Strongly Agree,9,"more flexibility over the cycle, more ownership.  See Franco german proposals below.",Agree,9,High level of debt. Market dynamics unstable on Italian debt. ,Disagree,9,Structural reforms are done/ being done in France. Level of debt manageable.
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Disagree,5,,Agree,6,,Disagree,6,
Van Reenen,John,Agree,7,Eurocrisis period showed that Commission had too much of a pro-austerity bias,Agree,6,,Disagree,6,
Vickers,John,Agree,5,,Agree,5,See bond yields ,Disagree,5,
Voth,Hans-Joachim,Uncertain,10,,Strongly Agree,7,,Uncertain,8,
Weder di Mauro,Beatrice,Agree,10,Mostly it is about making the rules less pro-cyclical and less policially divisive (see CEPR Policy Insight 91)  ,Agree,8,It’s not mainly about debt sustainably but about the risk of a run on the debt. ,Disagree,1,Not solvency but the ability of the French government to push reform of the Euro area is immediately at risk. 
Whelan,Karl,Agree,8,The rules should focus on maintaining overall debt sustainability and not on randomly chosen figures (such as deficit limits of 3 percent).,Agree,6,Insolvency risk is driven by loss of market confidence and failure to roll over existing debt. This government is close to provoking this.,Disagree,7,"France has lower debt\GDP and there is far less likelihood of a bond market ""strike"" on buying French debt. 3 percent is an arbitrary limit."
Wyplosz,Charles,Uncertain,1,"My long-held view is that fiscal discipline is a national prerogative, which is why the pact always fails when needed. ",Strongly Disagree,1,A few basis points don't matter for a debt that stands at 130% of GDP. The problem is about unfunded liabilities. ,Strongly Disagree,1,Same observation as for Italy.
Zilibotti,Fabrizio,Disagree,6,,Agree,8,,Disagree,6,
