Last Name,First Name,"Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,7,Recent research finds negative employment effects from industrial robots. Effects of AI and more mature robotics tech could be different.,Strongly Agree,9,Negative wage effects on at least some workers and productivity improvements are likely. Politics is the real constraint on redistribution
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Uncertain,4,,Agree,5,
Auerbach,Alan,Disagree,3,,Agree,7,
Autor,David,Disagree,6,"It's not impossible, but I'm not so far seeing the evidence that ""that this time is different.""",Agree,9,"Panelist meant to strongly agree (question misread). Though these techs will almost surely ↑ GDP, losers almost surely won’t be compensated."
Baicker,Katherine,Disagree,1,,Agree,1,
Banerjee,Abhijit,Strongly Agree,7,,Uncertain,7,Having a job matters even if it does not change earnings. I wonder what mechanisms will keep the population engaged and emotionally rewarded
Bertrand,Marianne,Agree,3,,Uncertain,2,
Brunnermeier,Markus,Uncertain,5,,Agree,5,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Cutler,David,Agree,3,,Agree,7,
Deaton,Angus,Agree,8,"Not because it must, but because the policies needed to prevent it will not be forthcoming,.",Strongly Agree,10,"Not that they will. ""Could be"""
Duffie,Darrell,No Opinion,,,No Opinion,,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Disagree,6,"Lots of jobs will be left requiring compassion, communication and intuition.",Agree,8,
Einav,Liran,Uncertain,3,,Strongly Agree,3,
Fair,Ray,Disagree,5,,Agree,5,
Finkelstein,Amy,Uncertain,5,,Strongly Agree,9,
Goldberg,Pinelopi,Agree,5,,Agree,5,
Goolsbee,Austan,Disagree,9,,Strongly Agree,10,
Greenstone,Michael,Agree,4,"key is the length of adjustment, recent research, including Acemoglu and Restrepo, suggest meaningful periods of time. ",Agree,6,"""could""-- yes but is a favorite academic ? of unclear real world relevance- benefits from big dislocations are not usually redistributed"
Hall,Robert,Uncertain,7,"So far, the effects seem to be small-the labor force has shrunk only a bit. But the future could see much more shrinkage.",Agree,4,There are already some bad signs about the shrinking labor force. Those not in the LF are unhappy and inclined to opiods. 
Hart,Oliver,Agree,5,"There will be  jobs in health and care service.Workers will need training. Unemployment may rise initially, but maybe not long-term.",Agree,5,"The pie is bigger and so monetary compensation is possible. But people may lose self-esteem if they no longer have a""good"" job."
Holmström,Bengt,Agree,5,,Agree,7,
Hoxby,Caroline,Uncertain,10,,Uncertain,10,
Hoynes,Hilary,Uncertain,9,,Uncertain,9,
Judd,Kenneth,Agree,8,Unemployment insurance benefits will be used to facilitate longer job search spells in the job market with fewer opportunities.,Strongly Agree,9,"The key word is ""could"". It is unclear how effective the political institutions will be in making this happen. I am pessimistic."
Kaplan,Steven,Agree,3,,Strongly Agree,8,
Kashyap,Anil,Uncertain,3,"they will destroy a lot of jobs and will create many too.  hard to know if the net, long-term effect will be substantial ",Agree,5,"But i am skeptical this will be pursued much in the US, witness the program on trade adjustment assistance"
Klenow,Pete,Agree,5,,Strongly Agree,5,
Levin,Jonathan,Agree,4,"Yes, with significant uncertainty. How quickly jobs will be lost and new jobs will be created is hard to forecast.",Agree,4,The potential benefits are large. Will they be used to compensate for job loss? May be determined more by politics than economics.
Maskin,Eric,Agree,7,,Agree,7,
Nordhaus,William,Strongly Disagree,9,"For at least the next 20 years. After that, depends on evolution of AI etc.",Agree,9,"Slightly weird question. Impacts are + and -, with net being positive. Hard to know where gross job losses fit into the + and -, however. "
Saez,Emmanuel,Disagree,6,,Agree,8,
Samuelson,Larry,Agree,8,"But with appropriate institutions and retraining, the effect on unemployment could be significantly mitigated.",Agree,8,It is (alas) by no means clear that we can muster the political will to make the appropriate compensations.
Scheinkman,José,Uncertain,6,Historical evidence suggests that this increase will be relatively short-run. ,Agree,7,
Schmalensee,Richard,Agree,4,,Strongly Agree,6,"But, of course, it is not likely that those benefits will in fact be used to compensate the losers."
Shapiro,Carl,Uncertain,1,,Agree,6,
Shimer,Robert,Disagree,5,"Holding fixed institutions, wages and labor force participation will fall for some workers, but unemployment will not increase",Strongly Agree,8,But the caveat is that compensating these workers will further reduce their employment
Thaler,Richard,Uncertain,1,I don't understand the premise. We create tools but no one learns how to use them? ,Agree,3,"The key word is ""could"".  In the recent years the gains from tech have not trickled down much in terms of money.  "
Udry,Christopher,Agree,6,,Strongly Agree,9,...but three compensation is very unlikely to be paid for most of those who lose their jobs. 
