Last Name,First Name,"The U.S government should make further efforts to shrink the size of the country's largest banks — such as by capping the size of their liabilities or penalizing large banks more heavily through taxes or other means — because the existing regulations do not require the biggest banks to internalize enough of the ""too-big-to-fail"" risks that they pose.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The economic benefits to the U.S. of having a handful of banks with balance sheets greater than $1 trillion are small.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,8,,Agree,8,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,3,,Agree,3,
Auerbach,Alan,Uncertain,3,,Uncertain,3,
Autor,David,No Opinion,,,No Opinion,,
Baicker,Katherine,No Opinion,,,No Opinion,,
Bertrand,Marianne,Agree,2,,Agree,2,
Chetty,Raj,No Opinion,,,No Opinion,,
Chevalier,Judith,Agree,3,,Agree,3,
Currie,Janet,Agree,2,,Agree,6,
Cutler,David,Agree,6,They should pay more for more implicit protection.,Uncertain,1,
Deaton,Angus,Strongly Agree,7,,Strongly Agree,7,
Duffie,Darrell,Disagree,8,"I am open minded about a size cap, but before taking this action, I think more research should be done on unintended consequences. ",Disagree,8,"The costs, such as ""too big to fail"" are clear, and changing. The benefits, including easier intermediation of large deals, are non trivial."
Edlin,Aaron,Agree,7,,Agree,1,small relative to the costs anyway
Eichengreen,Barry,Agree,8,,Agree,8,
Fair,Ray,Uncertain,5,Probably better to stiffen regulations.  ,Agree,5,
Goldberg,Pinelopi,No Opinion,,,No Opinion,,
Goldin,Claudia,Agree,2,,Uncertain,2,
Goolsbee,Austan,Uncertain,7,"it wasn't really size that made them dangerous. it was interconnection. derivatives, resolution, and consolidated supervisor > deposit size",Agree,9,
Greenstone,Michael,Agree,3,Hard to disagree in principle; we need more information on how to design such rules practically (or at least i need to know more).,Uncertain,2,
Hall,Robert,Disagree,8,Limiting assets is largely ineffective because banks can take similar risks and earn similar returns using swaps rather than holding assets.,Agree,7,"Any returns to scale are likely exhausted at smaller scale. But we should not measure size by assets, but by exposure."
Holmström,Bengt,Agree,2,Very unclear how far to go. Was too big to fail the problem in Canada? In Europe? Expansion triggered by regulatory change the big problem.,Agree,4,Scope (geographic as well as product) may be the bigger issue. Subsidizing risky investment activities with subsidized deposits problematic
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Disagree,6,"Banks face the same market incentives, and will make similar investments. Penalizing size does not help the solvency of the banking system.",Disagree,7,If size helps a bank provide significantly better service to customers then the economy enjoys significant benefits.
Kashyap,Anil,Uncertain,7,Many ways to use derivatives and other regulatory loopholes to avoid these penalties. So we could make things less safe.  Details matter.,Agree,1,US firms are big in all industries and balance sheet size is an imperfect measure.  But evidence on scale and scope efficiences is weak.
Klenow,Pete,Uncertain,8,Depends on the capital requirements imposed on them.,Uncertain,3,"Presume there are some economies of scale, but favor higher capital requirements on them."
Lazear,Edward,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Uncertain,3,I think my view on this would depend on exactly what steps were being proposed.,Agree,1,"Don't feel very informed on this, but not obvious why a few banks going from $500 bn to $1+ tr would create large aggregate benefits."
Maskin,Eric,Disagree,6,"I think the dangers of ""too big to fail"" have been exaggerated. Small banks would have to be bailed too in a financial crash.",Agree,7,
Nordhaus,William,Strongly Agree,8,,Agree,8,
Obstfeld,Maurice,Agree,7,,Agree,6,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,
Scheinkman,José,Agree,7,,Agree,7,
Schmalensee,Richard,Agree,3,,Agree,3,
Shin,Hyun Song,Strongly Agree,9,,Strongly Agree,9,
Stokey,Nancy,Agree,7,,Strongly Agree,8,
Thaler,Richard,Agree,5,Seems right.  Like the tax idea at rate that increases above some threshold.,Agree,3,
Udry,Christopher,Agree,6,,Strongly Agree,5,
Zingales,Luigi,Strongly Agree,8,,Uncertain,4,
