Last Name,First Name,"If the fiscal changes that are planned under current US law take place next year — including Bush era tax cuts expiring, Medicare payment rates to doctors being cut, the AMT applying to many more taxpayers, and automatic cuts in defense and non-defense discretionary spending kicking in — then US real GDP growth in 2013 will be lower than it would be under the CBO's alternative fiscal scenario, in which the above changes do not occur.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Agree,8,
Altonji,Joseph,Strongly Agree,8,
Auerbach,Alan,Agree,6,
Autor,David,Agree,6,"Nevertheless, I'd rather go over the 'fiscal cliff' than renew our irresponsible and unsustainable spend-don't-tax policies. "
Baicker,Katherine,Agree,5,
Bertrand,Marianne,No Opinion,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,2,"This is the debate. On net, I am still on the Keynesian side. "
Currie,Janet,Agree,6,
Cutler,David,Strongly Agree,7,
Deaton,Angus,Strongly Agree,8,
Duffie,Darrell,Agree,2,These measures could lower growth in 2013; the alternative has projected deficits of 5.3% (vs 1.4%) for many years; that's not good either!
Edlin,Aaron,Strongly Agree,8,
Eichengreen,Barry,Agree,7,
Fair,Ray,Strongly Agree,7,
Goldberg,Pinelopi,Agree,6,Lower spending and higher taxes imply slower growth. But alternative scenario would lead to higher deficit.
Goldin,Claudia,Disagree,2,
Goolsbee,Austan,Strongly Agree,10,"you've got to be kidding me. of course it would be lower.
"
Greenstone,Michael,Agree,7,
Hall,Robert,Strongly Agree,8,"All macro models agree that lower product demand and higher taxes reduce current output and employment. 
"
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Uncertain,5,"Some of the policies listed are anti-growth, some pro-growth, so it's hard to evaluate them succinctly as a package."
Judd,Kenneth,Did Not Answer,,
Kashyap,Anil,Strongly Agree,10,Short run contraction for sure.  But long run costs of NOT acting are growing; entitlement reform and some revenue increases are needed. 
Klenow,Pete,Agree,8,"Presuming it does not have a big effect on either (1) expected fiscal policy in future years, or (2) unconventional monetary policy."
Lazear,Edward,Agree,7,"Most of the action is on the tax side as CBO documents.  See my WSJ op-ed on May 18, 2012 about this."
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,10,
Obstfeld,Maurice,Strongly Agree,10,
Saez,Emmanuel,Strongly Agree,6,
Scheinkman,José,Agree,6,
Schmalensee,Richard,Agree,8,
Shin,Hyun Song,Agree,7,
Stock,James,Did Not Answer,,
Stokey,Nancy,Uncertain,1,"If all these changes do kick in at the end of 2012, it is hard to imagine they would be left in place for all of 2013.  So then what?"
Thaler,Richard,Strongly Agree,8,No brainer.
Udry,Christopher,Agree,2,
Zingales,Luigi,Uncertain,1,The worst aspect is the perduring uncertainty on what will happen 
