Last Name,First Name,The Fed should wait until its preferred measure of inflation (Core PCE) is clearly rising — and not just forecast to rise — before it begins hiking interest rates.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,5,I am worried about misallocation of capital & the wrong type of risk-taking resulting from extended periods of very very low interest rates.
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,Disagree,5,
Autor,David,Agree,7,Tight labor markets raise many boats. Don't let the tide out prematurely. 
Baicker,Katherine,Did Not Answer,,
Banerjee,Abhijit,Agree,7,
Bertrand,Marianne,Uncertain,1,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,4,
Cutler,David,Agree,3,
Deaton,Angus,Agree,3,
Duffie,Darrell,Strongly Disagree,9,"As Gretzky said, ""skate to where the puck will be."" Inflation normally takes time to form, often 2 years or more. The Fed can judge timing. "
Edlin,Aaron,Agree,6,
Eichengreen,Barry,Agree,5,
Einav,Liran,Uncertain,3,
Fair,Ray,Disagree,3,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Strongly Agree,10,Go look at their forecasts for the last 6 years. thank god they didn't act based on those.
Greenstone,Michael,Agree,4,i THINK risks of too little growth outweigh the risks of overshooting inflation target.  judgment call bc little evidence is available
Hall,Robert,Disagree,9,"Confusion here between rates of change and levels. The Fed should tighten when expected inflation is above target, not just when rising."
Hart,Oliver,Agree,7,The recovery is anemic and I am more concerned that it will fizzle than I am worried about inflation. The Fed should not be too  cautious. 
Holmström,Bengt,Agree,6,
Hoxby,Caroline,Disagree,8,The statement would appear to be inconsistent with the empirical evidence of past inflation episodes.
Hoynes,Hilary,Agree,4,
Judd,Kenneth,No Opinion,,
Kaplan,Steven,Disagree,7,
Kashyap,Anil,Uncertain,7,Models focusing on uncertainty about labor mkt slack and the real rate might imply this; financial stability concerns can cut the other way
Klenow,Pete,Disagree,5,The Fed has been and should be forward-looking.
Levin,Jonathan,Uncertain,4,
Maskin,Eric,Agree,6,
Nordhaus,William,Agree,9,Imprecisely worded but gets the basic idea. Major point is that Fed should make sure US is not at a low nominal rate equilibrium.
Saez,Emmanuel,Agree,5,
Samuelson,Larry,Uncertain,1,"Other factors, such as unemployment and participation rates, should also enter the Fed's decision."
Scheinkman,José,No Opinion,,
Schmalensee,Richard,No Opinion,,
Shapiro,Carl,Agree,3,
Shimer,Robert,Disagree,5,The Fed should raise rates when forecast inflation is above target. Now the hard question: what forecast is better than current inflation?
Thaler,Richard,Agree,3,Cost of waiting too long < cost of shooting too soon. Those predicting imminent inflation have been wrong for years. 
Udry,Christopher,No Opinion,,
