Last Name,First Name,The practical application of auction theory to the licensing of rights to use public assets like radiospectrum and other natural resources has generated substantially higher government revenues and better allocative efficiency worldwide than would have happened under previous arrangements.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,5,"Not sure exactly what ""substantially higher"" means here.  In absolute terms yes, relative to GDP probably no."
Antras,Pol,Strongly Agree,9,
Bandiera,Oriana,Strongly Agree,9,
Blanchard,Olivier,Agree,7,
Bloom,Nicholas,Strongly Agree,10,
Blundell,Richard William,Strongly Agree,8,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Agree,2,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Strongly Agree,8,
Fehr,Ernst,Agree,6,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,9,
Galí,Jordi,No Opinion,,
Giavazzi,Francesco,Agree,5,
Griffith,Rachel,Agree,7,
Guerrieri,Veronica,Agree,7,
Guiso,Luigi,Agree,4,
Guriev,Sergei,Strongly Agree,8,
Honohan,Patrick,Agree,1,Though likely it was more the fact that the licenses were auctioned and not freely awarded that really counted.  
Javorcik,Beata,Agree,8,
Kőszegi,Botond,Strongly Agree,10,
Krahnen,Jan Pieter,Did Not Answer,,
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,5,
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,8,
Neary,Peter,Agree,8,See the Nobel Prize citation!
Pagano,Marco,Strongly Agree,8,
Pastor,Lubos,Agree,2,
Persson,Torsten,Strongly Agree,8,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,5,
Prendergast,Canice,Strongly Agree,9,
Rasul,Imran,Strongly Agree,9,Among the best examples of how using tools of economics leads to can lead to the more efficient allocation of scarce resources.
Reichlin,Lucrezia,Uncertain,1,
Repullo,Rafael,Strongly Agree,4,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Strongly Agree,8,
Sturm,Daniel,Strongly Agree,9,
Van Reenen,John,Agree,6,
Vickers,John,Strongly Agree,8,
Voth,Hans-Joachim,Strongly Agree,9,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,No Opinion,,
Zilibotti,Fabrizio,Agree,5,
