Last Name,First Name,Shifting the burden of municipal property taxes towards land and away from improvements such as buildings - as proposed in the Detroit land value tax plan - will enhance the incentives for owners to develop their land and thereby give a substantial boost to local economic growth over a ten-year horizon.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,"More generally, Georgist ideas may be worth revisiting."
Altonji,Joseph,Uncertain,3,
Auerbach,Alan,Agree,5,
Autor,David,No Opinion,,
Banerjee,Abhijit,Did Not Answer,,
Bertrand,Marianne,Uncertain,2,
Brunnermeier,Markus,Agree,2,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,7,I am less certain about the impact of this policy on Detroit per se as there may be substantial property unattractive to development even with these tax changes. 
Cutler,David,Strongly Agree,4,
Deaton,Angus,Agree,7,
Duffie,Darrell,Uncertain,1,"Directionally, yes. As for whether it would be a ""substantial boost,"" judging that would take more expertise than I have."
Edlin,Aaron,Agree,5,
Eichengreen,Barry,Did Not Answer,,
Einav,Liran,Uncertain,1,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Greenstone,Michael,Agree,3,
Hall,Robert,Did Not Answer,,
Hart,Oliver,Agree,6,
Holmström,Bengt,Strongly Agree,5,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Uncertain,5,
Judd,Kenneth,Agree,7,
Kaplan,Steven,Agree,2,
Kashyap,Anil,Agree,1,
Klenow,Pete,Agree,2,
Levin,Jonathan,Agree,3,
Maskin,Eric,Agree,7,
Nordhaus,William,Did Not Answer,,
Obstfeld,Maurice,Uncertain,1,
Saez,Emmanuel,Did Not Answer,,
Samuelson,Larry,Agree,8,Much depends on the assessed values on which taxes are levied.
Scheinkman,José,Strongly Agree,8,
Schmalensee,Richard,Uncertain,5,"I agree with the direction of the effect but choke on ""substantial""."
Shapiro,Carl,Agree,3,
Shimer,Robert,Agree,8,
Stock,James,Did Not Answer,,
Thaler,Richard,Disagree,3,"I understand the potential value for taxing land at is potential value, but its market value is very low, the incentive will also be low, so ""substantial"" seems like an overstatement. "
Udry,Christopher,Agree,4,
