Last Name,First Name,The fundamental cause of Argentina’s high inflation is unfunded fiscal commitments that are being financed by the central bank.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Even if Argentina could marshal the resources to make a full switch to using US dollars for domestic transactions, it would substantially increase the volatility of Argentine GDP.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,6,My understanding is that they have indeed been printing money to finance expenditures in the medium term.,Uncertain,4,"This is a very interesting question. The answer seems to depend on how willing people are to bring dollars back from the US where many of them have their savings.  If they had trust that the dollars wouldn't be taken, there would be no problem. But it seems doubtful they do."
Antras,Pol,Agree,6,,Agree,7,
Bénassy-Quéré,Agnès,Agree,7,"Also bad luck recently, with the drought.",Uncertain,5,"In principle yes, since monetary policy could no longer be used to stabilize the economy. In practice maybe not, at least in the short term, since you need a credible central bank to carry out a meaningful monetary policy."
Blanchard,Olivier,Agree,9,,Agree,9,"The economy is very volatile under the existing system.  It would be volatile in a different way, not being able to use m policy or the e rate for stabilization. "
Bloom,Nicholas,Agree,4,,Uncertain,3,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Agree,7,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,5,,Uncertain,1,
De Grauwe,Paul,Agree,8,,Agree,6,
Eeckhout,Jan,Agree,7,,Uncertain,6,
Fehr,Ernst,No Opinion,,,No Opinion,,
Freixas,Xavier,Strongly Agree,7,,No Opinion,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Agree,7,,Agree,7,
Garicano,Luis,Strongly Agree,10,,Agree,5,
Gorodnichenko,Yuriy,Strongly Agree,9,,Strongly Agree,9,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Strongly Agree,7,,Agree,7,
Guriev,Sergei,Strongly Agree,8,,Agree,8,
Honohan,Patrick,Strongly Agree,10,,Agree,10,"Not just because it would mean loss of monetary policy independence (maybe not much of a loss for Argentina, but because it would not per se stabilize fiscal policy or remove the threat of disruptive government interference with banking to which Argentina has long been prone."
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,Don't know enough about Argentina's fiscal history to judge.,Disagree,3,"If GDP is measured in USD, then exchange rate and inflation will tend to move in opposite directions, stabilizing GDP numbers."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,4,"Of course many countries have unfunded fiscal commitments, so the magnitude of those commitments matters.",Agree,3,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,8,,Uncertain,8,
Pagano,Marco,Agree,5,,Uncertain,1,
Pastor,Lubos,No Opinion,,,No Opinion,,
Persson,Torsten,Agree,6,,Agree,5,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,Like 1999-2001. Ended in debt default.,Strongly Agree,10,
Prendergast,Canice,Agree,5,,Agree,5,
Propper,Carol,Agree,4,,No Opinion,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,8,,Uncertain,8,
Repullo,Rafael,Agree,4,,Uncertain,4,
Rey,Hélène,Agree,7,,Agree,7,volatility in the medium run. No lender of last resort for example.
Schoar,Antoinette,Agree,6,,Uncertain,6,
Storesletten,Kjetil,Strongly Agree,9,,Uncertain,8,"Once Argentina has dollarized, the effect on volatility of growth will depend on how the government is able to make up for the fall in seigniorage. If dollarization is associated with commitment to better policies, volatility will call. If not, volatility could increase"
Sturm,Daniel,Agree,4,,Uncertain,3,
Tenreyro,Silvana,Agree,9,,Agree,7,
Van der Ploeg,Rick,Strongly Agree,7,Unfunded fiscal deficits leads to explosion of monetary growth and consequent inflation and depreciations of the currency.,Agree,5,
Van Reenen,John,Agree,6,,Agree,8,
Vickers,John,Agree,5,,Uncertain,3,"That's an enormous ""Even if ...""."
Voth,Hans-Joachim,Agree,8,,Agree,8,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,9,What else is new?,Disagree,9,"Sure, losing the exchange rate instrument can be detrimental. But runaway inflation and repeated debt defaults are much more destabilizing."
