Last Name,First Name,"Claims by incumbent presidents and challengers about how many private-sector jobs can be created in a four-year period by sector-level or other targeted policies should be viewed as rough guesses, because overall macroeconomic conditions drive aggregate employment in ways that dominate any net effects of polices that focus on specific industries or households.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,7,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,7,"Broad macro conditions and macro policy matter most, but targetted policies have a role."
Auerbach,Alan,Strongly Agree,9,
Autor,David,Strongly Agree,10,
Baicker,Katherine,Agree,4,
Bertrand,Marianne,Agree,3,
Chetty,Raj,Strongly Agree,8,
Chevalier,Judith,Agree,8,
Currie,Janet,Agree,9,
Cutler,David,Agree,6,Sometimes sectoral policies turn out to be very large -- as with the auto industry and the health care industry. 
Deaton,Angus,Uncertain,5,"A politically unfettered federal government could do a lot, so there are presumably implicit side conditions here?"
Duffie,Darrell,Agree,2,
Edlin,Aaron,Strongly Agree,10,
Eichengreen,Barry,Agree,8,"""Viewed as rough guesses"" is a very polite and understated way of putting it, guys."
Fair,Ray,Strongly Agree,5,
Goldberg,Pinelopi,Uncertain,6,"What does ""macroeconomic"" mean?  The ""macro"" economy is an aggregation of micro untis. Of course the effects of any policy are uncertain."
Goldin,Claudia,Strongly Agree,7,
Goolsbee,Austan,Strongly Agree,10,only question is whether 'rough guesses' is too generous
Greenstone,Michael,Strongly Agree,7,
Hall,Robert,Strongly Agree,10,No doubt about this whatsoever!
Holmström,Bengt,Strongly Agree,7,
Hoxby,Caroline,Strongly Agree,10,
Judd,Kenneth,Strongly Agree,10,
Kashyap,Anil,Strongly Agree,7,POTUS macro choices matter somewhat but most sexy attempts to pander to get votes are inconsequental & shocks they can't control are big.  
Klenow,Pete,Strongly Agree,10,In the short run durability = cyclicality across industries.  In the long run it's technology and preferences (Engel curves).
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Agree,5,
Maskin,Eric,Agree,8,
Nordhaus,William,Agree,8,"""Rough guesses"" misses the point. I would say ""large overestimates"" as they are usually not effective ways of increasing either AD or AS."
Obstfeld,Maurice,Agree,10,
Saez,Emmanuel,Did Not Answer,,
Scheinkman,José,Agree,8,
Schmalensee,Richard,Strongly Agree,8,
Shin,Hyun Song,Agree,8,
Stokey,Nancy,Strongly Agree,9,
Thaler,Richard,Agree,3,Agree.  More generally too much weight is given to the jobs numbers.  How about if we evaluate a president by the return on the stock market
Udry,Christopher,Strongly Agree,6,
Zingales,Luigi,Agree,3,
