Last Name,First Name,Conventional economic reasoning suggests that it would be a good policy to enact the recent Senate  bill that would let undergraduate students borrow through the government Stafford program at interest rates equivalent to the primary credit rates offered to banks through the Federal Reserve's discount window.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Disagree,4,"Federal student loands should be tied to a longer term rate such as 10 year t-bill rate plus a premium, not a very short term rate."
Auerbach,Alan,Disagree,3,
Autor,David,Agree,8,"College remains an excellent investment for most students, and the federal government is the appropriate lender for most borrowers."
Baicker,Katherine,Uncertain,3,
Bertrand,Marianne,Uncertain,2,
Chetty,Raj,Uncertain,5,
Chevalier,Judith,Agree,8,"Education creates externalities, justifying subsidies. But there are problematic institutions who may be abusing the programs. "
Currie,Janet,Agree,7,Provides modest subsidies to students but still stabilizes cost of the program (since cost of loans to govt exceeds govt cost of borrowing).
Cutler,David,Strongly Agree,8,"Unclear what you mean by ""conventional"", but the evidence suggests inadequate college attendance because of price."
Deaton,Angus,No Opinion,,"Why are we being asked about ""conventional economic opinion"" instead of substance? Makes it a test."
Duffie,Darrell,Agree,3,"The discount-window rate represents a subsidy to education. The case for this: (1) credit frictions, and (2)  knowledge externalities."
Edlin,Aaron,Uncertain,6,"Main q is whether marginal return to college exceeds the cost.  If it does, std reasoning says we should encourage more college degrees "
Eichengreen,Barry,Uncertain,1,
Fair,Ray,No Opinion,,
Goldberg,Pinelopi,Agree,5,
Goldin,Claudia,Agree,7,"This has already been done but with a cap on the total rate.  Also, the rate is locked in for the loan period.  The Q did not state this."
Goolsbee,Austan,Agree,9,"better skills for the workforce helps not just the workers themselves but the wider economy, too. "
Greenstone,Michael,Uncertain,1,"What do we assume about externalities?  If no externalities, then this int rate is too low bc doesn't reflect riskiness of student loans."
Hall,Robert,Disagree,5,There are so many things wrong with the student loan program that changing the interest rate is down the list.
Holmström,Bengt,Strongly Agree,7,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,6,Something needs to be done to return the student loan program to what it was earlier this year.
Kashyap,Anil,Strongly Disagree,7,Discount window loans are secured and only made to solvent banks.  Student loans historically have high default rates.  Very bad idea!
Klenow,Pete,Strongly Disagree,5,"I can see the case for subsidizing college, but not pushing the borrowing rate below the risk free rate plus default risk."
Levin,Jonathan,No Opinion,,Haven't had a chance to get informed on this one.
Maskin,Eric,Agree,7,
Nordhaus,William,Did Not Answer,,
Obstfeld,Maurice,Uncertain,3,
Saez,Emmanuel,Uncertain,6,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Uncertain,5,"Conventional reasoning may rationalize a subsidy, but it is not clear what the alternative is or why this formula might be optimal."
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,No Opinion,,
Thaler,Richard,Uncertain,1,Guessing what conventional economic reasoning suggests is not in my wheel house. Social returns to student loans is probably high.
Udry,Christopher,No Opinion,,
Zingales,Luigi,Did Not Answer,,
