Last Name,First Name,"Without government intervention, take-up of electric vehicles will be substantially less than is desirable to reduce carbon emissions.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"To encourage greater take-up of electric vehicles, public expenditure on infrastructure to support them (such as charging stations) is likely to be more cost-effective than providing equivalent amounts as tax credits/purchase rebates for buyers.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,"Until increasing returns to scale kick in at a high enough level, subsidies of some kind will be necessary.",Uncertain,5,I think both are probably needed.
Antras,Pol,Agree,5,,Uncertain,3,
Bénassy-Quéré,Agnès,Agree,7,Correct in the first phase when prices are still high and charging and maintainance networks are limited. But not permanently.,Uncertain,7,Correct for wealthy households but maybe not for low-income households.
Blanchard,Olivier,Agree,6,the question is ambiguous.  Carbon tax or equivalent surely needed.  Question is what beyond that?  Public infrastructure (EV plugging stations)?,Disagree,7,"Both are needed, and neither will be fully achieved by the private sector on its own.  "
Bloom,Nicholas,Agree,7,,Uncertain,7,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Disagree,8,,Strongly Agree,8,
Carletti,Elena,Agree,4,,Uncertain,3,
Danthine,Jean-Pierre,Agree,8,Though the main governmental intervention should be at the level of charging infrastructure (and reduced subsidies for fossil fuel usage),Strongly Agree,8,
De Grauwe,Paul,Agree,7,,Agree,8,
Eeckhout,Jan,Agree,9,,Strongly Agree,9,"More than public expenditure, common standards on charging stations, chargers, batteries,... that ensure all users can easily switch between providers will lower prices of vehicles/charges and increase ease of use, and therefore foster take-up"
Fehr,Ernst,Agree,7,,Uncertain,1,
Freixas,Xavier,Strongly Agree,10,,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Agree,9,,Strongly Agree,8,
Galí,Jordi,Agree,6,,Agree,6,Tax credits or rebates do not solve the coordination problem.
Gorodnichenko,Yuriy,Strongly Agree,3,,Uncertain,3,
Griffith,Rachel,Strongly Agree,8,,Agree,6,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,7,,Strongly Agree,7,
Guriev,Sergei,Agree,8,,Agree,8,
Honohan,Patrick,Strongly Agree,5,,Agree,5,
Javorcik,Beata,Strongly Agree,8,,Agree,5,
Kőszegi,Botond,Strongly Agree,8,,Uncertain,6,
Krahnen,Jan Pieter,Agree,5,"Cars using fossil fuels do not internalize climate externalities, hence they sell too cheap, and electric vehicles need subsidies, one way or the other, to become sufficiently attractive for consumers. ",Agree,4,"Investing in infrastructure pays off for current and future generations, whereas rebates affect only today's consumers, i.e. it is a public versus private good decision."
La Ferrara,Eliana,Strongly Agree,4,,Uncertain,2,
Leuz,Christian,Did Not Answer,,,Did Not Answer,,
Mayer,Thierry,Strongly Agree,9,,Uncertain,8,
Meghir,Costas,Agree,9,,Agree,9,
Pagano,Marco,Strongly Agree,6,,Uncertain,1,
Pastor,Lubos,Uncertain,5,Demand from climate-conscious consumers can spur innovation that will lead to more take-up also among wallet-conscious consumers.,Uncertain,5,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Agree,5,
Prendergast,Canice,Agree,8,,Uncertain,8,
Propper,Carol,Strongly Agree,5,,Uncertain,5,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Disagree,3,"I'm far from an expert in this area, and there are effects on both directions, but Im relying my assessment on a widely-cited paper in this area and a recent survey.",Agree,5,"Focussing on the dynamic benefits, rather the static losses, it seems that infrastructure would be more effective at the demand-pull and network effects that this paper persuasively emphasizes."
Repullo,Rafael,Agree,4,,Agree,4,Taxing carbon would be even more cost-effective.
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,6,"It depends on what happens to old cars that are being replaced. if those are just resold to other buyers or exported to countries that do not provide a subsidy, it will only increase the problem. The big change will be new technologies that make green energy more efficient/cheap.",No Opinion,,
Storesletten,Kjetil,Uncertain,3,,Agree,3,
Sturm,Daniel,Uncertain,5,Making conventional cars pay fully for their external costs in terms of carbon and other local pollution is likely much more important than any EV subsidies.    ,Agree,8,
Van der Ploeg,Rick,Agree,6,There are tipping points due to positive feedback effects resulting from peer effects and learning by doing. It is imperative that policy makers ensure that the economy transitions from the ICE to electrical vehicles by shifting the equilibrium.,Agree,6,One needs both the charging stations and the electrical vehicles. Local governments also have a key role to play to get the space for this.
Van Reenen,John,Agree,9,,Agree,5,
Vickers,John,Agree,4,,Agree,3,
Voth,Hans-Joachim,Disagree,7,,Uncertain,5,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,4,"It depends on: how electricity is produced, how much other engines will emit, use of public transportation, emissions from battery production and disposal, and so many other things. ",Agree,2,
