Last Name,First Name,Google's dominance of the market for internet search arose mainly from a combination of economies of scale and a quality algorithm.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"In light of Google’s dominance, its current operating practices could have a substantial negative effect on social welfare in the long run.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,The nature of the market dominance of technology giants in the digital economy warrants either the imposition of some kind of regulation or a fundamental change in antitrust policy.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,They do have a good algorithm and this is a big part of their success but increasing returns to scale due to network effects are large.,Agree,7,As with many monopolies they will have the wrong incentives with regard to pricing of advertising and to innovation.,Agree,7,We do need new Antitrust policies and new regulation as well as new taxation to deal with the issues raised by the Tech firms.
Antras,Pol,Agree,8,,Uncertain,6,"Ambiguous language here. Google will not have decreased steady-state welfare; but relative to a counterfactual with more competition, it may",Agree,6,
Bandiera,Oriana,Agree,6,,Agree,6,,Strongly Agree,8,
Blanchard,Olivier,Agree,4,,Agree,5,,Agree,5,
Bloom,Nicholas,Strongly Agree,8,Google's search engine has been far better from the outset - this alone can explain why it dominated. It is simply a better search engine.,Strongly Disagree,8,Search is a natural monopoly. If better searches exist they will win - Google beat out Alta Vista on product quality. ,Strongly Disagree,9,"The history of Government regulation is poor, and particularly with Governments like Trump in the US I do not want them to have more control"
Blundell,Richard William,Agree,7,,Agree,5,,Agree,7,
Carletti,Elena,Agree,4,,Uncertain,4,,Uncertain,4,
Danthine,Jean-Pierre,Agree,3,,Agree,3,,Agree,5,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,9,,Strongly Agree,9,,Strongly Agree,10,
Fehr,Ernst,Agree,7,,Agree,7,,Agree,9,
Freixas,Xavier,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,7,
Fuchs-Schündeln,Nicola,Agree,5,,Uncertain,3,,Agree,7,
Galí,Jordi,Agree,6,,Agree,6,,Agree,6,
Giavazzi,Francesco,Disagree,6,,Uncertain,5,,Agree,7,
Griffith,Rachel,Strongly Agree,4,,Uncertain,3,,Uncertain,3,
Guerrieri,Veronica,Agree,6,,Uncertain,6,,Agree,6,
Guiso,Luigi,Strongly Agree,7,,Uncertain,7,,Agree,6,
Guriev,Sergei,Agree,7,,Agree,6,,Agree,6,
Honohan,Patrick,Strongly Agree,1,,No Opinion,,Future dynamics of the sector too uncertain for me to assess.,Agree,1,
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,Strongly Agree,6,,Strongly Agree,10,,Strongly Agree,10,
Krahnen,Jan Pieter,Agree,3, ,Agree,3,,Agree,6,
La Ferrara,Eliana,Agree,3,,Agree,3,,Agree,3,
Leuz,Christian,Agree,5,,Uncertain,3,Given G's dominance in market for search there clearly is potential for such harm. Don't know enough about its practices to answer.,Agree,5,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,9,,Uncertain,8,,Agree,7,
Neary,Peter,Agree,5,,Strongly Agree,7,"A classic case of natural monopoly. Unfortunately, it is (almost) at the global level so countervailing action would have to be global too.",Agree,6,
Pagano,Marco,Agree,5,,Agree,5,,Strongly Agree,8,
Pastor,Lubos,Agree,3,,Agree,3,,Uncertain,3,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Strongly Agree,7,,Agree,7,Power corrupts,Strongly Agree,8,They are becoming monopolies in very sensitise areas. Human nature cannot be trusted in such circumstances
Portes,Richard,Agree,4,,Agree,4,,Strongly Agree,5,
Prendergast,Canice,Agree,8,,Uncertain,9,,Agree,7,
Propper,Carol,Agree,3,,Agree,3,,Uncertain,4,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Agree,2,,Agree,2,,Agree,3,
Repullo,Rafael,Agree,4,,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,7,,Uncertain,7,,Agree,9,
Storesletten,Kjetil,Strongly Agree,6,,Agree,6,Indirect costs: dominant tech giants soak up the advertisement revenue the free press/media depends on. This risks crowding out the press,Agree,4,
Sturm,Daniel,Strongly Agree,8,,Agree,5,,Agree,9,
Van Reenen,John,Agree,7,General findings in literature including our work on superstar firms ,Uncertain,5,,Agree,6,
Vickers,John,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Voth,Hans-Joachim,Strongly Agree,8,,Uncertain,6,,Disagree,8,
Whelan,Karl,Uncertain,5,"I'm not sure I would describe the forces that have kept Google the most popular search engine as ""economies of scale""",Agree,3,"Weak agreement but we've seen large tech companies rise and fall. This could be the ""peak Google"" era and something else replaces it.",Agree,5,"I learned lots from reading Varian-Shapiro's ""Information Rules"". Markets for information goods are innately imperfectly competitive. "
Wyplosz,Charles,Agree,1,,Uncertain,1,,Agree,1,
Zilibotti,Fabrizio,Agree,8,,Uncertain,5,,Agree,7,
