Last Name,First Name,A US city hosting a big convention will enjoy a higher boost to incremental spending — holding the number of visitors and their average incomes fixed — if those visitors are auto dealers rather than economists.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,8,
Auerbach,Alan,Strongly Agree,10,
Autor,David,Agree,7,Not a lot of impulse spending among economists by my observation. You can charge them a lot for WiFi however.
Baicker,Katherine,Agree,1,
Banerjee,Abhijit,No Opinion,,
Bertrand,Marianne,Agree,3,Never been to their convention. My response assumes they spend less time than we do inside our hotel rooms interviewing job canditates.
Brunnermeier,Markus,No Opinion,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,7,Economists spend all of their time in the hotel doing interviews. 
Currie,Janet,Did Not Answer,,
Cutler,David,Agree,4,
Deaton,Angus,Uncertain,1,"I have a strong prior, but it is pure prejudice and there is a high probability of it being wrong."
Duffie,Darrell,Uncertain,1,Sorry -- I'm not familiar with the spending habits of auto dealers!
Edlin,Aaron,Uncertain,7,"Although economists are known to economize and some think tipping as tourists irrational, in truth, who knows?"
Eichengreen,Barry,Uncertain,1,
Einav,Liran,Strongly Agree,7,
Fair,Ray,Agree,5,"Agree, except for Orley Ashenfelter's wine brigade.  "
Finkelstein,Amy,Agree,6,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Strongly Disagree,10,Economists are known for parties and blowing money. The original AEA motto was 'Cras Ignorare' (FORGET TOMORROW)
Greenstone,Michael,Uncertain,8,
Hall,Robert,Strongly Agree,9,Those dealers know how to have fun...
Hart,Oliver,Agree,5, Dealers have high-powered incentives. Winners may celebrate a lot and losers drown their sorrows. Low variance makes economists staid.  
Holmström,Bengt,Uncertain,6,
Hoxby,Caroline,Agree,5,"Deep Q: By being dismal (scientists), do economists exert a negative gen eqm effect on the natives, thereby actually depressing consumption?"
Hoynes,Hilary,Agree,5,
Judd,Kenneth,Agree,8,"Businessmen supposedly have larger spending accounts. According to one ""survey"", ladies of the evening leave town when economists arrive."
Kaplan,Steven,Agree,8,
Kashyap,Anil,Agree,5,we are lengendary cheap skates.  this is why we can't hold the aea convention on a weekend in las veags -- we don't spend enough! 
Klenow,Pete,Strongly Agree,9,
Levin,Jonathan,Agree,5,Economists are famous cheapskates.
Maskin,Eric,Agree,7,
Nordhaus,William,Agree,5,Based on sample of experts (n=1)
Saez,Emmanuel,Agree,2,
Samuelson,Larry,Agree,9,"We hate to be called the dismal science, but I fear we can be a dismal lot - or perhaps we work so hard there is no time to spend money."
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Agree,4,"Economists rarely try to impress each other with how much money they can spend.  Auto dealers, by reputation, do this fairly often."
Shapiro,Carl,Agree,6,
Shimer,Robert,Did Not Answer,,
Thaler,Richard,Uncertain,1,Only safe prediction is that those who make money via tips fear the AEA.  Economists known to be bad tippers.
Udry,Christopher,Strongly Agree,8,".. because, basically, we're boring."
