Last Name,First Name,Network externalities give Twitter an incumbent advantage that will slow substantially the migration of users who would prefer alternative platforms.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"As of now, there needs to be more government regulation around Twitter’s content moderation and personal data protection.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,4,"Of course, software, design and services also matter. But networks are social media platforms' most valuable asset. ",Agree,4,"The network-nature of social media platforms means that there are myriad economic and social externalities, and there is no reason to think that either the platforms or users will internalize them."
Altonji,Joseph,Agree,4,,Uncertain,3,
Auerbach,Alan,Agree,5,,Uncertain,3,
Autor,David,Agree,6,"It takes years for these incumbency advantages to erode, but it happens! Think of MySpace, Friendster, and Facebook...",Uncertain,5,I would say yes except that I have no idea what workable legislation would look like
Baicker,Katherine,Agree,3,,Uncertain,3,
Banerjee,Abhijit,Agree,6,,Agree,6,
Bertrand,Marianne,Agree,4,,Agree,1,
Brunnermeier,Markus,Strongly Agree,9,,Uncertain,7,any possible regulation should not be specific to Twitter and requires public discussion about freedom of speech. 
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,9,,Disagree,5,
Cutler,David,Strongly Agree,4,,Uncertain,5,
Deaton,Angus,Agree,6,,Strongly Agree,6,
Duffie,Darrell,Agree,2,,Agree,2,
Edlin,Aaron,Disagree,8,"Positive feedback from network effects help you take off, but they make it easier to spiral downhill. Easy come, easy go.  If a better alternative draws customers despite the incumbent advantage as it grows it enjoys positive feedback and if twitter shrinks it has negative. 
",Uncertain,5,
Eichengreen,Barry,Agree,5,,Agree,1,
Einav,Liran,Agree,1,,Uncertain,1,
Fair,Ray,Disagree,5,,Uncertain,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,,Disagree,6,
Goolsbee,Austan,Agree,4,,Uncertain,1,You would think that losing $40n of your own money would encourage someone to figure it out on their own
Greenstone,Michael,Strongly Agree,7,,Uncertain,1,
Hall,Robert,Agree,2,"That is, there is competition for the market more than competition in the market",Uncertain,1,
Hart,Oliver,Strongly Agree,8,,Agree,7,
Holmström,Bengt,Strongly Agree,7,,Agree,4,At a minimum the same rules as for newspapers. 
Hoxby,Caroline,Strongly Agree,9,,Strongly Agree,9,
Hoynes,Hilary,Agree,8,,Uncertain,8,
Judd,Kenneth,Agree,4,"Many services create network externalities that hinder entry. Twitter is not unique in that regard. Also, other services have successfully entered -- TikTok and many others that an old man like me do not use.",Disagree,7,"I see no reason why content regulation on Twitter should exceed regulation of newspapers and magazines, or regulation of what material is sent via US Mail. Twitter is just a cheaper way of communication. Privacy protections are necessary."
Kaplan,Steven,Agree,6,,Strongly Disagree,4,
Kashyap,Anil,Agree,3,,Agree,3,
Klenow,Pete,Strongly Agree,6,,Uncertain,3,
Levin,Jonathan,Uncertain,6,,Uncertain,5,Depends on what the regulation would be!
Maskin,Eric,Agree,5,,Agree,4,
Nordhaus,William,Strongly Agree,8,,Disagree,6,This would be legally and politically divisive in the extreme. Perhaps a consensus would form in the future but impossible now.
Obstfeld,Maurice,Agree,3,,Agree,4,
Saez,Emmanuel,Agree,6,,Agree,6,
Samuelson,Larry,Agree,8,"Network externalities are especially important in social media, calling for new research and new regulation and policy tools.",Agree,8,This is the case for social media more generally.
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Disagree,5,"An advantage, yes, but no reason to expect it will substantially slow migration. MySpace fell to Facebook rapidly, and Facebook displaced other networks overseas rather quickly.",Agree,5,"I agree reluctantly, because the status quo is so unsatisfactory, but I don't know what exact form of regulation can be relied upon to do more good than harm. And the exact form of regulatio is what matters."
Shapiro,Carl,Agree,7,,Strongly Agree,8,
Shimer,Robert,Uncertain,5,Network externalities slow migration initially but speed it after some point,Strongly Disagree,8,The government should not regulate content on Twitter any more than it should regulate the content of the NYTimes or Fox News. Personal data protection should not be different at Twitter than at other platforms.
Stock,James,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Uncertain,1,"Is this a question about network externalities or a prediction of the future. Because status quo bias is also a big factor. People stick to (say) banks even after fraud convictions. Either way, twitter will be hard to topple. ",Strongly Disagree,1,I don’t see how government regulation can work on content. How would that regulation have worked during the Trump administration? What about cable news? Hard problem. Is there a successful model we can learn from? Not an expert. 
Udry,Christopher,Did Not Answer,,,Did Not Answer,,
