Last Name,First Name,Stablecoins that are not fully backed by either central bank reserves or government securities with minimal price volatility are inherently vulnerable to runs.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,6,It’s a very similar situation to bank runs. There’s an advantage t leaving when you are just above the stable price leading to runs. 
Antras,Pol,Agree,5,
Bénassy-Quéré,Agnès,Strongly Agree,10,There is ample historical evidence on the vulnerability of conventionally fixed exchange rates; could be even worse for private currencies.
Blanchard,Olivier,Strongly Agree,10,"rarely is an answer so obvious

"
Bloom,Nicholas,Uncertain,3,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Agree,6,
Danthine,Jean-Pierre,Strongly Agree,9,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Strongly Agree,7,
Fehr,Ernst,Agree,8,
Freixas,Xavier,Strongly Agree,10,This corresponds to a classical bank run where assets are illiquid while the liabilities have a fixed redemption value
Fuchs-Schündeln,Nicola,Agree,4,
Galí,Jordi,Agree,7,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Uncertain,4,
Guriev,Sergei,Strongly Agree,10,
Honohan,Patrick,Strongly Agree,10,"The stability promise amounts to a sequential server constraint, which allows the first movers to exit without penalty. "
Javorcik,Beata,Did Not Answer,,
Kőszegi,Botond,No Opinion,,
Krahnen,Jan Pieter,Agree,5,"With positive asset volatility, the 'stable'-claim no longer holds for all creditors. Then, sequencing matters, i.e., a run is possible."
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,4,
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Did Not Answer,,
Pagano,Marco,Strongly Agree,7,
Pastor,Lubos,Agree,8,"The main features that help prevent bank runs, such as deposit insurance and the lender of last resort, are missing in the crypto world."
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,10,"As for MMFs, which had to be rescued in 2008 and 2020. But even with backing, may be vulnerable if UST market freezes. No LoLR."
Prendergast,Canice,Agree,8,
Propper,Carol,Agree,3,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,
Reis,Ricardo,Agree,8,
Repullo,Rafael,Strongly Agree,8,
Rey,Hélène,Strongly Agree,8,
Schoar,Antoinette,Strongly Agree,9,
Storesletten,Kjetil,Strongly Agree,5,
Sturm,Daniel,Agree,8,
Van Reenen,John,Strongly Agree,7,
Vickers,John,Agree,5,
Voth,Hans-Joachim,Agree,7,
Whelan,Karl,Strongly Agree,10,"I'm not sure there is a good reason for stablecoins to exist, particularly those backed by crypto assets."
Wyplosz,Charles,Strongly Agree,9,
Zilibotti,Fabrizio,Did Not Answer,,
