Last Name,First Name,The influx of refugees into Germany beginning in the summer of 2015 will generate net economic benefits for German citizens over the succeeding decade.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Agree,6,I am not very well informed on the skill sets of the refugees that have been allowed to stay.  In general I think immigration is beneficial.
Antras,Pol,Agree,8,The effect on aggregate income (even aggregate income per capita) will likely be positive; but distributive effects might lead to discontent
Bénassy-Quéré,Agnès,Uncertain,3,I think it will take more than a decade for the net economic benefits to appear.
Baldwin,Richard,Did Not Answer,,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Uncertain,6,it very much depends on the degree to which the refugees eventually become integrated and productive.  Not clear at this point. 
Bloom,Nicholas,Uncertain,4,This was an incredible humanitarian move but the economics are unclear. They are accepting mainly unskilled and often traumatized people.
Blundell,Richard William,Agree,7,"This is a fairly skilled and young group, precisely the right mixture of human capital. Of course, there are some losers and usual frictions"
Carletti,Elena,Agree,5,
Danthine,Jean-Pierre,Did Not Answer,,
De Grauwe,Paul,Agree,7,
Eeckhout,Jan,Agree,7,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Uncertain,5,
Fuchs-Schündeln,Nicola,Uncertain,4,
Galí,Jordi,Uncertain,8,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Agree,5,
Griffith,Rachel,Disagree,4,
Guerrieri,Veronica,Agree,8,
Guiso,Luigi,Uncertain,5,I have no theoretcial guidance to anser the question
Hellwig,Martin,No Opinion,,The outcome is highly contingent on the extent of labor market opening and on integration. No general assessment can be seriously made.
Honohan,Patrick,Agree,6,Aging Europe must find ways of coping with immigration; though the 2015 surge may have unleashed political forces with bad economic impact.
Kőszegi,Botond,Uncertain,9,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,9,"Direct effects likely negative, while indirect effects -ranging from fiscal stimuli to change in immigration policy- likely positive. Sum=?"
Krusell,Per,Disagree,5,The adjustment likely takes longer (even though German labor markets allow low entry wages). Eventually the average benefits will be > 0.
La Ferrara,Eliana,Uncertain,6,"Depends on extent refugees' integration in labor market. If successful, benefits for pension system could outweigh social welfare costs."
Leuz,Christian,Agree,2,"Agree for migrants,esp w/ low birth rate as DE. Less clear w/ large ref influx. Key is quick right to work&access to education. DE too rigid"
Meghir,Costas,Did Not Answer,,
Neary,Peter,Strongly Agree,7,Net benefits from increased labor supply. Losses to some workers possible. Poor integration could lead to social unrest: safety nets needed
O'Rourke,Kevin,Uncertain,8,"It will depend on their composition, how well they are integrated into labour markets, and other factors. Plus: which German citizens?"
Pagano,Marco,Uncertain,1,
Pastor,Lubos,Uncertain,3,The economy will get bigger but maybe not per capita and there will be redistribution.
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Uncertain,8,"refugees are primarily young, which is good, but unqualified in things needed by German industry, which could offset benefits"
Portes,Richard,Strongly Agree,9,"Depends partly on integration policies. But evidence clear: immigrants bring dynamism, improve demography, net fiscal contributors."
Prendergast,Canice,Agree,6,
Reichlin,Lucrezia,Agree,5,
Repullo,Rafael,Agree,5,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Uncertain,7,The benefits of the immigration will depend on how well German society can provide education opportunities and integrate the refugees.
Van Reenen,John,Uncertain,1,
Vickers,John,Uncertain,3,
Voth,Hans-Joachim,Strongly Disagree,8,
Weder di Mauro,Beatrice,Uncertain,9,Most refugees lack the skills to be quickly integrated into the German labor market.  EducatIon and integration policies will be key
Whelan,Karl,Agree,7,Germany has very poor demographics and its population is set to contract. Taking in immigrants will have many long-term economic benefits.
Wyplosz,Charles,Strongly Agree,8,"This is a big plus given a sharply negative natural demography, but... Absorbing this population will be long and costly.  "
Zilibotti,Fabrizio,Uncertain,5,
