Last Name,First Name,"AI and the Labor Market

 
Use of artificial intelligence over the next ten years will have a negative impact on the earnings potential of substantial numbers of high-skilled workers in advanced countries.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Use of artificial intelligence over the next ten years will lead to substantially greater uncertainty about the likely returns to investment in education.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Use of artificial intelligence over the next ten years is likely to have a measurable impact in increasing income inequality.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Uncertain,5,Too many forces at play - effects likely to be heterogeneous for different high-skilled occupations.,Uncertain,6,"Again, this is too general a statement. Investment in general skills (with a strong technological component) is likely to continue to have high returns. But some specific educational programs (e.g., translation services) will see their returns diminish. ",Uncertain,5,
Bénassy-Quéré,Agnès,Uncertain,2,Not sure whether the high-skilled or medium-skilled will be more affected.,Agree,2,,Uncertain,2,
Blanchard,Olivier,Agree,5,"this indeed seems likely, in contrast to earlier GPTs",Uncertain,4,"yes, people will have to think harder about where the jobs will be. ",Disagree,5,"to the extent that they eliminate some college level jobs, and potentially allow workers with less education to do more complex jobs, it seems to go the other way. "
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Uncertain,5,,Uncertain,5,,Agree,5,
Botticini,Maristella,Agree,7,,Uncertain,7,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Agree,7,,Agree,5,,No Opinion,,
Eeckhout,Jan,Agree,6,"While this is possible, it is also uncertain. AI can lead to a decline in the college premium as a lot of routine cognitive tasks are automatized (which may be desirable compared to earnings for the low-education workers) but AI is likely to also generate more superstars",Agree,7,,Strongly Agree,9,"Inequality between workers (superstars vs rest), but also inequality between labor vs capital income, and profits "
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,4,,Agree,3,,Uncertain,2,
Galí,Jordi,Uncertain,5,,Agree,5,,Uncertain,5,
Garicano,Luis,Agree,5,"There clearly is something new about AI relative to previous ""skill biased technological change"" - the skills that will be made redundant are non-routine, cognitive skills, as opposed to routine skills.",Agree,6,"It is really hard to guide your human capital investments in a world where machines are increasingly ""creative"" and ""skilled"". Areas such as computer programming, accounting or advertising will be affected, but not clear what will be the new emergent tasks. ",Disagree,5,It seems AI is more likely to help less skilled workers get to the level of more skilled ones- everyone can write a decent law memo. IT also seems likely some highly skilled professions will be highly impacted. 
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Agree,4,,Disagree,4,,Uncertain,4,
Guiso,Luigi,Agree,7,,Disagree,7,,Agree,6,
Guriev,Sergei,Uncertain,5,,Disagree,8,,Uncertain,1,
Honohan,Patrick,Agree,1,,Uncertain,1,,Disagree,1,
Javorcik,Beata,Strongly Agree,8,,Agree,6,,Uncertain,4,
Kőszegi,Botond,Uncertain,3,,Agree,3,,Uncertain,8,
Krahnen,Jan Pieter,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,3,"In the past, technological advances often acted as complement for high-skilled workers, increasing their value in market place. Key question is if AI is substantially different from prior technological advance. Unclear in my mind. See also survey below.",Agree,2,"In near term, this is likely correct, but not clear in long-run. Education and required knowledge will adapt and uncertainty over returns to education likely subside.",Agree,3,"Using the evidence for automation as a gauge (see below), I agree, though the effect might take longer than 10 years to be substantial."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,3,,Uncertain,3,,Uncertain,3,
Pastor,Lubos,Agree,1,"Negative for some, positive for others.",Agree,1,,Uncertain,1,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Uncertain,5,,Agree,7,
Prendergast,Canice,Strongly Agree,8,,Strongly Agree,8,,Disagree,7,
Propper,Carol,Uncertain,4,,Agree,4,,Strongly Agree,5,
Rasul,Imran,Agree,3,,Disagree,6,,Agree,6,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Uncertain,4,,Agree,4,,Agree,6,
Repullo,Rafael,Agree,4,,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,7,"I believe the impact will be highly heterogeneous and it depends on where you set the cut off for ""high skilled"". ",Disagree,7,AI will probably increase the mean return to education but there will be more heterogeneity across fields and across people within a field.,Agree,5,
Storesletten,Kjetil,Uncertain,3,,Disagree,7,High-skilled individuals replaced by AI will find other jobs,Uncertain,6,AI cuts both ways for inequality. College premium might fall on average but inequality will increase among high-skilled individuals
Sturm,Daniel,Uncertain,4,,Uncertain,4,,Agree,4,
Van der Ploeg,Rick,Agree,6,"Even the tasks of higher educated people (estate agents, lawyers, programmers, etc.) can be lightened or taken over by AI.",Strongly Agree,6,,Strongly Agree,6,
Van Reenen,John,Disagree,7,,Disagree,6,,Disagree,6,
Vickers,John,Agree,4,,Uncertain,3,,Agree,3,
Voth,Hans-Joachim,Uncertain,6,,Agree,8,,Uncertain,6,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Disagree,2,,Disagree,3,,Uncertain,2,
