Last Name,First Name,"Connecticut should pass its Senate Bill 60,  which states that during a “severe weather event emergency, no person within the chain of distribution of consumer goods and services shall sell or offer to sell consumer goods or services for a price that is unconscionably excessive.”",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Uncertain,2,
Auerbach,Alan,Disagree,6,
Autor,David,Disagree,7,"It's generally efficient to use the price mechanism to allocate scarce goods, e.g., umbrellas on a rainy day. Banning this is unwise.  "
Baicker,Katherine,Disagree,4,
Bertrand,Marianne,Agree,1,
Chetty,Raj,Uncertain,5,
Chevalier,Judith,Strongly Disagree,8,Need to stimulate supply
Currie,Janet,Did Not Answer,,
Cutler,David,No Opinion,,"Without defining ""unconscionably,"" I don't know what to think about this."
Deaton,Angus,Strongly Agree,9,Efficiency is less important than distribution under such transitory conditions.
Duffie,Darrell,Uncertain,1,"I'm unsure how the courts will define ""unconscionably excessive."" Efficient allocation by market prices is good, absent monopoly effects."
Edlin,Aaron,Disagree,7,statute is vague. also statute could put goods in hands of those with limited need who hoard them.
Eichengreen,Barry,Disagree,4,
Fair,Ray,Strongly Disagree,10,"Alas, I live in this state.  "
Goldberg,Pinelopi,Uncertain,6,"Torn about this. The term ""unconscionably"" seems too loose - is it a 20% or 500% markup? But the goods need to be allocated somehow."
Goldin,Claudia,Uncertain,7,
Goolsbee,Austan,Did Not Answer,,
Greenstone,Michael,Disagree,6,unconscionably excessive is VERY imprecise.  extreme weather can disproportionately hurt poor and this could be efficient redistribution.
Hall,Robert,Disagree,3,"Goal is to allocate suddenly scarce goods optimally. Prices are only a tool, but often the right tool. Law doesn't have a good alternative."
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Disagree,10,I sympathize w the intention but goods must be allocated in some way & prices are better than first come or fights breaking out among people
Judd,Kenneth,Strongly Disagree,8,"The vagueness of the law means more businesses will  shut down, which is the same as setting price to infinity, a legal price."
Kashyap,Anil,Disagree,5,"Seems like pandering, ""post-storm cleanup or repair services"" are included. It seems like those prices could reasonably soar after a storm. "
Klenow,Pete,Disagree,5,Would presumably lead to misallocation and lower supply than optimal.  There are better ways to redistribute.
Lazear,Edward,Disagree,8,"Inefficiency from short term monopoly that results in ""gouging"" is secondary to losses in efficiency from a getting items to right users."
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Disagree,6,
Nordhaus,William,Disagree,9,"At best, symbolic. At worst, would return to price controls of the 1970s."
Obstfeld,Maurice,No Opinion,,
Saez,Emmanuel,Agree,2,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Strongly Disagree,8,Seeks to prevent prices from clearing markets; never a good thing.  Standard is hopelessly vague so increases risk for affected businesses.
Shin,Hyun Song,Uncertain,5,
Stock,James,No Opinion,,
Stokey,Nancy,Disagree,5,State legislatures should focus on more important questions.
Thaler,Richard,Disagree,5,"Not needed. Big firms hold prices firm. ""Entrepreneurs"" with trucks help meet supply. Are the latter covered? If so, bad."
Udry,Christopher,Strongly Disagree,7,"The ""unconscionably excessive"" language may be a way to rescue this - maybe any price at which S=D is ok. Then sb60 is just a waste of time."
Zingales,Luigi,Did Not Answer,,
